,Module,Group,Quota,NoofBidders,LowestBid,LowestSuccBid,HighestBid,Faculty,Student Type[Acct Type]
0,ACC1002X,LECTURE X1,70,26,1,1,2131,ENGINEERING,Returning Students [P]
1,ACC1002X,LECTURE X1,20,5,1,1,2000,SCHOOL OF COMPUTING,Returning Students [P]
2,ACC1002X,LECTURE X1,6,4,1,1,158,JOINT MULTI-DISCIPLINARY PROGRAMMES,Returning Students [P]
3,ACC1002X,LECTURE X2,80,61,1,1,1930,ENGINEERING,Returning Students [P]
4,ACC1002X,LECTURE X2,20,1,1,1,1,SCHOOL OF COMPUTING,Returning Students [P]
5,ACC1002X,LECTURE X3,90,15,1,1,501,ENGINEERING,Returning Students [P]
6,ACC4611,SECTIONAL TEACHING K1,35,21,1,1,1400,SCHOOL OF BUSINESS,Returning Students [P]
7,ACC4612D,SECTIONAL TEACHING D1,9,8,10,1,4000,SCHOOL OF BUSINESS,Returning Students [P]
8,ACC4612E,SECTIONAL TEACHING E1,43,56,1,1000,4135,SCHOOL OF BUSINESS,Returning Students [P]
9,ACC4613,SECTIONAL TEACHING K1,35,54,1,2011,4834,SCHOOL OF BUSINESS,Returning Students [P]
10,ACC5001,SECTIONAL TEACHING E1,7,8,5,75,600,SCHOOL OF BUSINESS,Returning Students [P]
11,AR2101,DESIGN LECTURE 1,115,94,1,1,223,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
12,AR2223,LECTURE 1,115,94,1,1,233,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
13,AR2521,LECTURE 1,114,89,1,1,1000,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
14,AR3101,DESIGN LECTURE 1,115,90,1,1,1500,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
15,AR3421,LECTURE 1,122,92,1,1,3735,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
16,AR4101,DESIGN LECTURE 1,55,40,1,1,100,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
17,AR4103,DESIGN LECTURE 1,35,27,1,1,20,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
18,AR4322,LECTURE 1,20,22,1,1,3250,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
19,AR5011,LECTURE 1,55,36,1,1,100,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
20,AR5321,LECTURE 1,85,64,1,1,100,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
21,AS2237,LECTURE 1,20,1,10,1,10,ARTS & SOCIAL SCIENCES,Returning Students [P]
22,AS3239,LECTURE 1,2,0,0,0,0,ARTS & SOCIAL SCIENCES,Returning Students [P]
23,AS4219,SEMINAR-STYLE MODULE CLASS 1,2,0,0,0,0,ARTS & SOCIAL SCIENCES,Returning Students [P]
