,Module,Group,Quota,NoofBidders,LowestBid,LowestSuccBid,HighestBid,Faculty,Student Type[Acct Type]
0,ACC1002X,LECTURE X1,104,149,2,850,4232,SCHOOL OF BUSINESS,Returning Students [P] and NUS Students [G]
1,ACC1002X,LECTURE X2,74,115,1,900,3476,SCHOOL OF BUSINESS,Returning Students [P] and NUS Students [G]
2,ACC2002,LECTURE B1,61,48,1,1,1500,SCHOOL OF BUSINESS,Returning Students [P] and NUS Students [G]
3,ACC2002,LECTURE B1,5,0,0,0,0,SCHOOL OF COMPUTING,New Students [P]
4,ACC4612D,SECTIONAL TEACHING D1,27,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P] and NUS Students [G]
5,ACC4612E,SECTIONAL TEACHING E1,2,1,1455,1,1455,SCHOOL OF BUSINESS,Returning Students [P] and NUS Students [G]
6,AR1101,DESIGN LECTURE 1,24,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
7,AR1327,LECTURE 1,20,3,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
8,AR2101,DESIGN LECTURE 1,36,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
9,AR2221,LECTURE 1,3,3,854,1,1767,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P] and NUS Students [G]
10,AR2521,LECTURE 1,34,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
11,AR2723,LECTURE 1,34,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
12,AR3101,DESIGN LECTURE 1,16,3,1,1,2,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
13,AR3222,LECTURE 1,16,16,1,1,2000,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
14,AR4101,DESIGN LECTURE 1,14,7,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
15,AR4103,DESIGN LECTURE 1,25,2,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
16,AR4222,LECTURE 1,1,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
17,AR4322,LECTURE 1,24,2,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
18,AR5011,LECTURE 1,18,6,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
19,AR5312,LECTURE 1,2,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
20,AR5321,LECTURE 1,35,9,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
21,AS2236,LECTURE 1,10,4,7,1,83,ARTS & SOCIAL SCIENCES,Returning Students [P] and NUS Students [G]
22,AS2236,LECTURE 1,5,0,0,0,0,ARTS & SOCIAL SCIENCES,New Students [P]
23,AS2237,LECTURE 1,9,1,12,1,12,ARTS & SOCIAL SCIENCES,Returning Students [P] and NUS Students [G]
24,AS3238,LECTURE 1,4,1,10,1,10,ARTS & SOCIAL SCIENCES,Returning Students [P] and NUS Students [G]
25,BN3402,LECTURE 1,1,3,2901,4500,4500,ENGINEERING,Returning Students [P]
26,BN4301,LECTURE 1,1,4,3333,3400,3400,ENGINEERING,Returning Students [P]
27,BN4406,LECTURE 1,62,1,300,1,300,ENGINEERING,Returning Students [P]
28,BSP1004X,LECTURE Y1,70,84,1,350,2000,SCHOOL OF BUSINESS,Returning Students [P] and NUS Students [G]
29,BSP1004X,LECTURE Y1,7,4,2,1,143,SCIENCE,New Students [P]
30,BSP1004X,LECTURE Y1,7,4,200,1,351,ENGINEERING,New Students [P]
31,BSP1004X,LECTURE Y1,22,2,1,1,401,SCHOOL OF COMPUTING,New Students [P]
32,BSP1005,LECTURE D1,19,21,16,101,3677,SCHOOL OF BUSINESS,Returning Students [P] and NUS Students [G]
33,BSP1005,LECTURE D1,7,6,1,1,647,SCHOOL OF COMPUTING,New Students [P]
34,BSP1005,LECTURE D2,18,23,150,350,4300,SCHOOL OF BUSINESS,Returning Students [P] and NUS Students [G]
35,BSP1005,LECTURE D2,1,1,1,1,1,SCHOOL OF COMPUTING,New Students [P]
36,BSP1005,LECTURE D2,2,1,745,1,745,JOINT MULTI-DISCIPLINARY PROGRAMMES,New Students [P]
