,Module,Group,Quota,NoofBidders,LowestBid,LowestSuccBid,HighestBid,Faculty,Student Type[Acct Type]
0,ACC1002,LECTURE B1,28,19,1,1,1000,SCHOOL OF BUSINESS,Returning Students [P]
1,ACC1002,LECTURE B2,9,9,1,1,3000,SCHOOL OF BUSINESS,Returning Students [P]
2,ACC1002X,LECTURE B1,25,14,1,1,400,SCIENCE,Returning Students [P]
3,ACC1002X,LECTURE B1,140,153,1,100,4690,ENGINEERING,Returning Students [P]
4,ACC1002X,LECTURE B1,17,11,1,1,976,SCHOOL OF COMPUTING,Returning Students [P]
5,ACC1002X,LECTURE B2,25,13,1,1,201,SCIENCE,Returning Students [P]
6,ACC1002X,LECTURE B2,140,162,1,200,5555,ENGINEERING,Returning Students [P]
7,ACC1002X,LECTURE B2,27,9,5,1,534,SCHOOL OF COMPUTING,Returning Students [P]
8,ACC1006,LECTURE C,10,21,101,1000,2066,SCHOOL OF BUSINESS,Returning Students [P]
9,ACC2002,LECTURE B,10,10,1,1,793,SCHOOL OF COMPUTING,Returning Students [P]
10,AR1101,DESIGN TUTORIAL 1,1,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
11,AR2101,DESIGN TUTORIAL 1,147,117,1,1,550,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
12,AR2221,LECTURE 1,147,116,1,1,600,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
13,AR2511,PACKAGED LECTURE 1,145,114,1,1,550,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
14,AR2723,LECTURE 1,145,116,1,1,550,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
15,AR3101,DESIGN TUTORIAL 1,135,78,1,1,6009,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
16,AR3222,LECTURE 1,136,77,1,1,2035,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
17,AR4101,DESIGN TUTORIAL 1,70,26,1,1,1000,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
18,AR4103,DESIGN TUTORIAL 1,45,25,1,1,100,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
19,AR4222,LECTURE 1,15,1,10,1,10,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
20,AR4322,LECTURE 1,46,25,1,1,100,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
21,AR4323,LECTURE 1,45,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
22,AR5011,LECTURE 1,80,27,1,1,1000,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
23,AR5312,LECTURE 1,15,4,1,1,20,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
24,AR5321,LECTURE 1,110,45,1,1,2035,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
25,AR5610,LECTURE 1,15,2,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
26,AS2237,LECTURE 1,7,7,2,1,30,ARTS & SOCIAL SCIENCES,Returning Students [P]
27,AS3234,LECTURE 1,2,0,0,0,0,ARTS & SOCIAL SCIENCES,Returning Students [P]
28,BCP4002A,SECTIONAL TEACHING A,500,63,1,1,100,SCHOOL OF BUSINESS,Returning Students [P]
29,BCP4002B,SECTIONAL TEACHING B,500,2,1,1,1,SCHOOL OF BUSINESS,Returning Students [P]
30,BHT4001A,SECTIONAL TEACHING A,500,11,1,1,792,SCHOOL OF BUSINESS,Returning Students [P]
31,BHT4001B,SECTIONAL TEACHING B,500,1,1,1,1,SCHOOL OF BUSINESS,Returning Students [P]
32,BHT4001C,SECTIONAL TEACHING C,500,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P]
33,BN2101,LECTURE 1,70,0,0,0,0,ENGINEERING,Returning Students [P]
34,BN3101,LECTURE 1,75,0,0,0,0,ENGINEERING,Returning Students [P]
35,BN3201,LECTURE 1,70,0,0,0,0,ENGINEERING,Returning Students [P]
36,BN3301,LECTURE 1,70,0,0,0,0,ENGINEERING,Returning Students [P]
37,BN3402,LECTURE 1,15,21,6,1300,3200,ENGINEERING,Returning Students [P]
38,BN3501,LECTURE 1,70,0,0,0,0,ENGINEERING,Returning Students [P]
39,BN4301,LECTURE 1,40,44,1,127,4992,ENGINEERING,Returning Students [P]
40,BN4403,LECTURE 1,20,30,100,2162,5490,ENGINEERING,Returning Students [P]
41,BN4406,LECTURE 1,40,24,1,1,2001,ENGINEERING,Returning Students [P]
42,BSP1004,LECTURE D1,19,14,2,1,3000,ENGINEERING,Returning Students [P]
43,BSP1004,LECTURE D1,4,6,36,500,600,SCHOOL OF COMPUTING,Returning Students [P]
44,BSP1004,LECTURE D1,2,5,55,505,935,SCHOOL OF BUSINESS,Returning Students [P]
45,BSP1004,LECTURE D2,19,11,1,1,556,ENGINEERING,Returning Students [P]
46,BSP1004,LECTURE D2,7,8,366,500,1750,SCHOOL OF COMPUTING,Returning Students [P]
47,BSP1004,LECTURE D2,12,19,20,551,2000,SCHOOL OF BUSINESS,Returning Students [P]
48,BSP1005,LECTURE D1,7,8,1,243,2500,SCIENCE,Returning Students [P]
49,BSP1005,LECTURE D1,19,19,10,1,2250,ENGINEERING,Returning Students [P]
50,BSP1005,LECTURE D1,2,4,120,509,632,SCHOOL OF BUSINESS,Returning Students [P]
51,BSP1005,LECTURE D2,7,8,11,150,517,SCIENCE,Returning Students [P]
52,BSP1005,LECTURE D2,19,10,1,1,2387,ENGINEERING,Returning Students [P]
53,BSP1005,LECTURE D2,4,8,107,402,1048,SCHOOL OF BUSINESS,Returning Students [P]
54,BSP2001,LECTURE A1,2,10,100,1200,1900,SCHOOL OF BUSINESS,Returning Students [P]
55,BSP2001,LECTURE A2,4,14,1,1500,2250,SCHOOL OF BUSINESS,Returning Students [P]
56,BSP2005,LECTURE E1,4,0,0,0,0,SCHOOL OF COMPUTING,Returning Students [P]
57,BSP2005,LECTURE E2,8,0,0,0,0,SCHOOL OF COMPUTING,Returning Students [P]
58,BSP3001B,SECTIONAL TEACHING A5,3,9,400,1018,2000,SCHOOL OF BUSINESS,Returning Students [P]
59,BSP3001B,SECTIONAL TEACHING A6,2,7,120,612,888,SCHOOL OF BUSINESS,Returning Students [P]
60,BSP3001C,SECTIONAL TEACHING A7,1,5,423,1035,1035,SCHOOL OF BUSINESS,Returning Students [P]
61,BSP4513,SECTIONAL TEACHING C1,38,55,6,528,3342,SCHOOL OF BUSINESS,Returning Students [P]
62,CE2134,LECTURE 1,180,123,1,1,2000,ENGINEERING,Returning Students [P]
63,CE2155,LECTURE 1,180,83,1,1,1983,ENGINEERING,Returning Students [P]
64,CE2184,LECTURE 1,180,113,1,1,600,ENGINEERING,Returning Students [P]
65,CE2407,LECTURE 1,180,110,1,1,500,ENGINEERING,Returning Students [P]
