,Module,Group,Quota,NoofBidders,LowestBid,LowestSuccBid,HighestBid,Faculty,Student Type[Acct Type]
0,ACC1002X,LECTURE B1,16,0,0,0,0,SCIENCE,Returning Students and New Students [P]
1,ACC1002X,LECTURE B1,2,13,1,5605,5638,ENGINEERING,Returning Students and New Students [P]
2,ACC1002X,LECTURE B1,45,1,1,1,1,SCHOOL OF COMPUTING,Returning Students and New Students [P]
3,ACC1002X,LECTURE B1,44,7,1,1,301,SCHOOL OF BUSINESS,Returning Students and New Students [P]
4,ACC1002X,LECTURE B2,18,0,0,0,0,SCIENCE,Returning Students and New Students [P]
5,ACC1002X,LECTURE B2,5,12,150,3677,5000,ENGINEERING,Returning Students and New Students [P]
6,ACC1002X,LECTURE B2,52,0,0,0,0,SCHOOL OF COMPUTING,Returning Students and New Students [P]
7,ACC1002X,LECTURE B2,42,2,1,1,10,SCHOOL OF BUSINESS,Returning Students and New Students [P]
8,ACC1006,LECTURE C,4,3,10,1,995,SCHOOL OF BUSINESS,Returning Students and New Students [P]
9,ACC2002,LECTURE B1,2,3,200,501,911,SCHOOL OF COMPUTING,Returning Students and New Students [P]
10,ACC2002,LECTURE B1,13,2,83,1,100,SCHOOL OF BUSINESS,Returning Students and New Students [P]
11,ACC2002,LECTURE B1,13,5,1,1,700,SCHOOL OF BUSINESS,NUS Students [G]
12,ACC2002,LECTURE B2,1,2,50,103,103,SCHOOL OF COMPUTING,Returning Students and New Students [P]
13,ACC2002,LECTURE B2,5,5,1,1,301,SCHOOL OF BUSINESS,Returning Students and New Students [P]
14,ACC2002,LECTURE B2,13,4,10,1,162,SCHOOL OF BUSINESS,NUS Students [G]
15,ACC3606,SECTIONAL TEACHING A1,3,1,1,1,1,SCHOOL OF BUSINESS,Returning Students and New Students [P]
16,ACC3613,SECTIONAL TEACHING D1,2,0,0,0,0,SCHOOL OF BUSINESS,Returning Students and New Students [P]
17,ACC3613,SECTIONAL TEACHING D2,2,1,1,1,1,SCHOOL OF BUSINESS,Returning Students and New Students [P]
18,ACC3613,SECTIONAL TEACHING D3,2,0,0,0,0,SCHOOL OF BUSINESS,Returning Students and New Students [P]
19,ACC3615,SECTIONAL TEACHING E1,3,0,0,0,0,SCHOOL OF BUSINESS,Returning Students and New Students [P]
20,ACC3615,SECTIONAL TEACHING E2,1,0,0,0,0,SCHOOL OF BUSINESS,Returning Students and New Students [P]
21,ACC3615,SECTIONAL TEACHING E3,1,0,0,0,0,SCHOOL OF BUSINESS,Returning Students and New Students [P]
22,AR1102,DESIGN TUTORIAL 1,11,6,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and New Students [P]
23,AR1326,LECTURE 1,13,7,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and New Students [P]
24,AR1721,LECTURE 1,15,8,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and New Students [P]
25,AR2102,DESIGN TUTORIAL 1,19,9,1,1,500,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and New Students [P]
26,AR2223,LECTURE 1,24,9,1,1,500,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and New Students [P]
27,AR2223,LECTURE 1,10,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Reserved for [G] in later round
28,AR2326,LECTURE 1,31,7,1,1,500,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and New Students [P]
29,AR2724,LECTURE 1,28,7,1,1,500,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and New Students [P]
30,AR3102,DESIGN TUTORIAL 1,30,7,1,1,100,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and New Students [P]
31,AR3323,LECTURE 1,54,6,1,1,10,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and New Students [P]
32,AR3324,LECTURE 1,32,6,1,1,10,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and New Students [P]
33,AR4102,DESIGN TUTORIAL 1,24,6,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and New Students [P]
34,AR4104,DESIGN TUTORIAL 1,14,2,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and New Students [P]
35,AR4323,LECTURE 1,11,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and New Students [P]
36,AR5011,LECTURE 1,5,8,3467,5391,5467,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and New Students [P]
37,AR5011,LECTURE 2,43,2,1,1,5,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and New Students [P]
38,BCP4002A,SECTIONAL TEACHING A,491,0,0,0,0,SCHOOL OF BUSINESS,Returning Students and New Students [P]
39,BCP4002B,SECTIONAL TEACHING B,499,0,0,0,0,SCHOOL OF BUSINESS,Returning Students and New Students [P]
40,BHT4001A,SECTIONAL TEACHING A,498,0,0,0,0,SCHOOL OF BUSINESS,Returning Students and New Students [P]
41,BHT4001B,SECTIONAL TEACHING B,499,0,0,0,0,SCHOOL OF BUSINESS,Returning Students and New Students [P]
42,BHT4001C,SECTIONAL TEACHING C,499,0,0,0,0,SCHOOL OF BUSINESS,Returning Students and New Students [P]
43,BN4202,LECTURE 1,25,0,0,0,0,ENGINEERING,Returning Students and New Students [P]
44,BN4402,LECTURE 1,15,2,1,1,100,ENGINEERING,Returning Students and New Students [P]
45,BN4404,LECTURE 1,14,5,10,1,1500,ENGINEERING,Returning Students and New Students [P]
46,BSP1004,LECTURE D1,30,5,1,1,150,SCHOOL OF BUSINESS,Returning Students and New Students [P]
47,BSP1004,LECTURE D1,7,1,929,1,929,SCHOOL OF BUSINESS,NUS Students [G]
48,BSP1004,LECTURE D2,2,2,2570,1,3200,ENGINEERING,Returning Students and New Students [P]
49,BSP1004,LECTURE D2,2,9,5,1884,3003,SCHOOL OF COMPUTING,Returning Students and New Students [P]
50,BSP1004,LECTURE D2,28,1,999,1,999,SCHOOL OF BUSINESS,Returning Students and New Students [P]
51,BSP1004,LECTURE D2,7,3,1,1,632,SCHOOL OF BUSINESS,NUS Students [G]
52,BSP1005,LECTURE F1,5,9,377,1501,2198,ENGINEERING,Returning Students and New Students [P]
53,BSP1005,LECTURE F1,36,3,1,1,100,SCHOOL OF BUSINESS,Returning Students and New Students [P]
54,BSP1005,LECTURE F1,7,14,212,529,886,SCHOOL OF BUSINESS,NUS Students [G]
55,BSP1005,LECTURE F2,5,8,1000,2800,4499,ENGINEERING,Returning Students and New Students [P]
