,Module,Group,Quota,NoofBidders,LowestBid,LowestSuccBid,HighestBid,Faculty,Student Type[Acct Type]
0,ACC1002,LECTURE B1,10,1,300,1,300,SCHOOL OF BUSINESS,Returning Students [P]
1,ACC1002X,LECTURE B1,20,16,1,1,1003,SCIENCE,Returning Students [P]
2,ACC1002X,LECTURE B1,130,89,1,1,4020,ENGINEERING,Returning Students [P]
3,ACC1002X,LECTURE B1,20,28,120,450,855,SCHOOL OF COMPUTING,Returning Students [P]
4,ACC1002X,LECTURE B1,27,9,1,1,400,SCHOOL OF BUSINESS,Returning Students [P]
5,ACC1002X,LECTURE B1,1,3,250,510,510,JOINT MULTI-DISCIPLINARY PROGRAMMES,Returning Students [P]
6,ACC1002X,LECTURE B2,20,13,1,1,302,SCIENCE,Returning Students [P]
7,ACC1002X,LECTURE B2,135,103,1,1,4555,ENGINEERING,Returning Students [P]
8,ACC1002X,LECTURE B2,25,10,10,1,106,SCHOOL OF COMPUTING,Returning Students [P]
9,ACC1002X,LECTURE B2,27,7,1,1,1000,SCHOOL OF BUSINESS,Returning Students [P]
10,ACC1002X,LECTURE B2,1,2,101,1000,1000,JOINT MULTI-DISCIPLINARY PROGRAMMES,Returning Students [P]
11,ACC1006,LECTURE C,50,38,1,1,600,SCHOOL OF BUSINESS,Returning Students [P]
12,ACC2002,LECTURE B,25,5,1,1,88,SCHOOL OF COMPUTING,Returning Students [P]
13,AR2101,DESIGN LECTURE 1,158,107,1,1,500,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
14,AR2221,LECTURE 1,149,106,1,1,450,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
15,AR2511,PACKAGED LECTURE 1,158,107,1,1,500,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
16,AR2723,LECTURE 1,185,106,1,1,450,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
17,AR3101,DESIGN LECTURE 1,128,92,1,1,1000,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
18,AR3222,LECTURE 1,127,93,1,1,1000,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
19,AR4101,DESIGN LECTURE 1,70,37,1,1,1000,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
20,AR4103,DESIGN LECTURE 1,70,31,1,1,1001,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
21,AR4322,LECTURE 1,80,36,1,1,1001,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
22,AR5011,LECTURE 1,80,30,1,1,1000,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
23,AR5312,LECTURE 1,25,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
24,AR5321,LECTURE 1,110,67,1,1,4703,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
25,AR5610,LECTURE 1,18,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
26,AS2237,LECTURE 1,2,3,173,800,800,ARTS & SOCIAL SCIENCES,Returning Students [P]
27,AS3232,SEMINAR-STYLE MODULE CLASS 1,1,1,500,1,500,ARTS & SOCIAL SCIENCES,Returning Students [P]
28,AS3234,LECTURE 1,2,0,0,0,0,ARTS & SOCIAL SCIENCES,Returning Students [P]
29,AS3240,LECTURE 1,2,0,0,0,0,ARTS & SOCIAL SCIENCES,Returning Students [P]
30,AS4231,SEMINAR-STYLE MODULE CLASS 1,2,0,0,0,0,ARTS & SOCIAL SCIENCES,Returning Students [P]
31,BN4301,LECTURE 1,50,44,1,1,2000,ENGINEERING,Returning Students [P]
32,BN4403,LECTURE 1,15,31,1000,4888,6566,ENGINEERING,Returning Students [P]
33,BN4406,LECTURE 1,50,41,1,1,2000,ENGINEERING,Returning Students [P]
34,BSP1004,LECTURE D1,5,6,203,210,1365,SCIENCE,Returning Students [P]
35,BSP1004,LECTURE D1,15,6,1,1,3005,ENGINEERING,Returning Students [P]
36,BSP1004,LECTURE D1,15,5,1,1,202,SCHOOL OF COMPUTING,Returning Students [P]
37,BSP1004,LECTURE D1,20,7,1,1,2333,SCHOOL OF BUSINESS,Returning Students [P]
38,BSP1004,LECTURE D2,5,7,11,80,1000,SCIENCE,Returning Students [P]
39,BSP1004,LECTURE D2,15,4,11,1,1002,ENGINEERING,Returning Students [P]
40,BSP1004,LECTURE D2,15,2,1,1,15,SCHOOL OF COMPUTING,Returning Students [P]
41,BSP1004,LECTURE D2,15,14,1,1,2000,SCHOOL OF BUSINESS,Returning Students [P]
42,BSP1004,LECTURE D2,3,0,0,0,0,JOINT MULTI-DISCIPLINARY PROGRAMMES,Returning Students [P]
43,BSP1005A,LECTURE D1,22,10,1,1,1100,ENGINEERING,Returning Students [P]
44,BSP1005A,LECTURE D1,10,0,0,0,0,SCHOOL OF COMPUTING,Returning Students [P]
45,BSP1005A,LECTURE D1,17,12,1,1,500,SCHOOL OF BUSINESS,Returning Students [P]
46,BSP1005A,LECTURE D1,1,0,0,0,0,JOINT MULTI-DISCIPLINARY PROGRAMMES,Returning Students [P]
47,BSP1005A,LECTURE D2,22,5,6,1,1000,ENGINEERING,Returning Students [P]
48,BSP1005A,LECTURE D2,10,0,0,0,0,SCHOOL OF COMPUTING,Returning Students [P]
49,BSP1005A,LECTURE D2,16,4,1,1,1000,SCHOOL OF BUSINESS,Returning Students [P]
50,BSP1005A,LECTURE D2,2,0,0,0,0,JOINT MULTI-DISCIPLINARY PROGRAMMES,Returning Students [P]
51,BSP1005B,LECTURE D3,15,5,1,1,100,SCIENCE,Returning Students [P]
52,BSP1005B,LECTURE D3,20,1,400,1,400,SCHOOL OF BUSINESS,Returning Students [P]
53,BSP2001,LECTURE A1,3,21,1,1208,2003,SCHOOL OF BUSINESS,Returning Students [P]
54,BSP2005,LECTURE E1,20,27,10,401,2000,SCHOOL OF BUSINESS,Returning Students [P]
55,BSP3001,SECTIONAL TEACHING A2,14,4,1,1,123,SCHOOL OF BUSINESS,Returning Students [P]
56,BSP3001,SECTIONAL TEACHING A4,4,3,25,1,820,SCHOOL OF BUSINESS,Returning Students [P]
57,BSP3001,SECTIONAL TEACHING A6,50,5,1,1,1000,SCHOOL OF BUSINESS,Returning Students [P]
58,BSP4513,SECTIONAL TEACHING C1,55,36,1,1,566,SCHOOL OF BUSINESS,Returning Students [P]
59,CE2134,LECTURE 1,130,160,1,5,1116,ENGINEERING,Returning Students [P]
60,CE2155,LECTURE 1,130,91,1,1,500,ENGINEERING,Returning Students [P]
61,CE2184,LECTURE 1,110,129,1,3,1000,ENGINEERING,Returning Students [P]
62,CE2407,LECTURE 1,120,168,1,60,3004,ENGINEERING,Returning Students [P]
63,CE2409,LECTURE 1,50,8,1,1,300,ENGINEERING,Returning Students [P]
64,CE3101,LECTURE 1,40,31,1,1,2000,ENGINEERING,Returning Students [P]
65,CE3102,LECTURE 1,25,7,1,1,500,ENGINEERING,Returning Students [P]
66,CE3116,LECTURE 1,100,70,1,1,120,ENGINEERING,Returning Students [P]
67,CE3121,LECTURE 1,80,58,1,1,100,ENGINEERING,Returning Students [P]
68,CE3166,LECTURE 1,100,62,1,1,100,ENGINEERING,Returning Students [P]
69,CE4103,LECTURE Dsg,100,50,1,1,355,ENGINEERING,Returning Students [P]
70,CE4104,LECTURE Prj,120,47,1,1,355,ENGINEERING,Returning Students [P]
71,CE4257,LECTURE 1,43,4,1,1,100,ENGINEERING,Returning Students [P]
72,CE5101,LECTURE 1,18,5,1,1,200,ENGINEERING,Returning Students [P]
73,CE5104,LECTURE 1,24,15,1,1,2000,ENGINEERING,Returning Students [P]
74,CE5105,LECTURE 1,12,8,1,1,600,ENGINEERING,Returning Students [P]
75,CE5108,LECTURE 1,24,15,1,1,300,ENGINEERING,Returning Students [P]
76,CE5113,LECTURE 1,18,4,1,1,200,ENGINEERING,Returning Students [P]
77,CE5203,LECTURE 1,14,4,1,1,20,ENGINEERING,Returning Students [P]
78,CE5205,LECTURE 1,24,4,1,1,50,ENGINEERING,Returning Students [P]
79,CE5307,LECTURE 1,18,2,1,1,355,ENGINEERING,Returning Students [P]
80,CE5312,LECTURE 1,14,0,0,0,0,ENGINEERING,Returning Students [P]
81,CE5509,LECTURE 1,24,7,1,1,355,ENGINEERING,Returning Students [P]
82,CE5510,LECTURE 1,24,2,1,1,100,ENGINEERING,Returning Students [P]
83,CE5514,LECTURE 1,14,1,1,1,1,ENGINEERING,Returning Students [P]
84,CE5610,LECTURE 1,24,0,0,0,0,ENGINEERING,Returning Students [P]
85,CE5703,LECTURE 1,18,3,1,1,355,ENGINEERING,Returning Students [P]
86,CE5712,LECTURE 1,14,0,0,0,0,ENGINEERING,Returning Students [P]
87,CE5713,LECTURE 1,18,0,0,0,0,ENGINEERING,Returning Students [P]
88,CE5714,LECTURE 1,15,1,500,1,500,ENGINEERING,Returning Students [P]
89,CE5805,LECTURE 1,24,14,1,1,1234,ENGINEERING,Returning Students [P]
90,CE5886,LECTURE 1,14,1,1,1,1,ENGINEERING,Returning Students [P]
91,CE5887,LECTURE 1,14,0,0,0,0,ENGINEERING,Returning Students [P]
92,CH1101E,LECTURE 1,22,7,1,1,100,ARTS & SOCIAL SCIENCES,Returning Students [P]
93,CH2121,LECTURE 1,107,2,10,1,10,ARTS & SOCIAL SCIENCES,Returning Students [P]
94,CH2161,SECTIONAL TEACHING 1,10,2,1,1,10,ARTS & SOCIAL SCIENCES,Returning Students [P]
95,CH2223,LECTURE 1,33,2,1,1,10,ARTS & SOCIAL SCIENCES,Returning Students [P]
96,CH2245,LECTURE 1,30,2,50,1,100,ARTS & SOCIAL SCIENCES,Returning Students [P]
97,CH2252,LECTURE 1,40,2,1,1,10,ARTS & SOCIAL SCIENCES,Returning Students [P]
98,CH2274,LECTURE 1,30,0,0,0,0,ARTS & SOCIAL SCIENCES,Returning Students [P]
99,CH2295,LECTURE 1,14,1,100,1,100,ARTS & SOCIAL SCIENCES,Returning Students [P]
100,CH3221,LECTURE 1,22,4,1,1,397,ARTS & SOCIAL SCIENCES,Returning Students [P]
101,CH3245,LECTURE 1,20,5,1,1,110,ARTS & SOCIAL SCIENCES,Returning Students [P]
102,CH3248,LECTURE 1,22,0,0,0,0,ARTS & SOCIAL SCIENCES,Returning Students [P]
103,CH4203,SEMINAR-STYLE MODULE CLASS 1,2,4,1006,3767,4000,ARTS & SOCIAL SCIENCES,Returning Students [P]
