,Module,Group,Quota,NoofBidders,LowestBid,LowestSuccBid,HighestBid,Faculty,Student Type[Acct Type]
0,ACC1002,LECTURE V1,5,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P]
1,ACC1002,LECTURE V2,4,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P]
2,ACC1002,LECTURE V2,5,9,1,107,303,SCHOOL OF BUSINESS,New Students [P]
3,ACC1002X,LECTURE X1,7,14,1,1000,3500,SCIENCE,Returning Students [P]
4,ACC1002X,LECTURE X1,35,20,1,1,501,ENGINEERING,Returning Students [P]
5,ACC1002X,LECTURE X1,5,4,22,1,2800,SCHOOL OF COMPUTING,Returning Students [P]
6,ACC1002X,LECTURE X1,6,0,0,0,0,JOINT MULTI-DISCIPLINARY PROGRAMMES,Returning Students [P]
7,ACC1002X,LECTURE X1,18,10,1,1,10,SCIENCE,New Students [P]
8,ACC1002X,LECTURE X1,30,2,1,1,1,ENGINEERING,New Students [P]
9,ACC1002X,LECTURE X1,35,30,1,1,300,SCHOOL OF COMPUTING,New Students [P]
10,ACC1002X,LECTURE X1,4,0,0,0,0,JOINT MULTI-DISCIPLINARY PROGRAMMES,New Students [P]
11,ACC1002X,LECTURE X2,12,23,1,793,3800,SCIENCE,Returning Students [P]
12,ACC1002X,LECTURE X2,100,26,1,1,3022,ENGINEERING,Returning Students [P]
13,ACC1002X,LECTURE X2,2,2,50,1,60,SCHOOL OF COMPUTING,Returning Students [P]
14,ACC1002X,LECTURE X2,28,19,1,1,11,SCIENCE,New Students [P]
15,ACC1002X,LECTURE X2,40,3,1,1,1,ENGINEERING,New Students [P]
16,ACC1002X,LECTURE X2,7,11,50,150,740,SCHOOL OF COMPUTING,New Students [P]
17,ACC1002X,LECTURE X3,6,16,2,1292,1800,SCIENCE,Returning Students [P]
18,ACC1002X,LECTURE X3,86,8,1,1,100,ENGINEERING,Returning Students [P]
19,ACC1002X,LECTURE X3,10,0,0,0,0,SCHOOL OF COMPUTING,Returning Students [P]
20,ACC1002X,LECTURE X3,4,3,2,1,10,SCIENCE,New Students [P]
21,ACC1002X,LECTURE X3,30,5,1,1,30,ENGINEERING,New Students [P]
22,ACC1002X,LECTURE X3,35,6,1,1,10,SCHOOL OF COMPUTING,New Students [P]
23,ACC2002,SECTIONAL TEACHING B4,5,0,0,0,0,SCHOOL OF COMPUTING,Returning Students [P]
24,ACC2002,SECTIONAL TEACHING B4,1,0,0,0,0,SCHOOL OF COMPUTING,New Students [P]
