,Module,Group,Quota,NoofBidders,LowestBid,LowestSuccBid,HighestBid,Faculty,Student Type[Acct Type]
0,ACC1002X,LECTURE B1,25,0,0,0,0,SCIENCE,Returning Students and New Students [P]
1,ACC1002X,LECTURE B1,75,70,1,1,6400,ENGINEERING,Returning Students and New Students [P]
2,ACC1002X,LECTURE B1,5,4,1,1,100,SCHOOL OF COMPUTING,Returning Students and New Students [P]
3,ACC1002X,LECTURE B1,18,2,1,1,400,SCHOOL OF BUSINESS,Returning Students and New Students [P]
4,ACC1002X,LECTURE B1,1,2,257,400,400,JOINT MULTI-DISCIPLINARY PROGRAMMES,Returning Students and New Students [P]
5,ACC1002X,LECTURE B1,3,8,250,688,1006,SCHOOL OF BUSINESS,NUS Students [G]
6,ACC1002X,LECTURE B2,25,0,0,0,0,SCIENCE,Returning Students and New Students [P]
7,ACC1002X,LECTURE B2,57,51,1,1,6000,ENGINEERING,Returning Students and New Students [P]
8,ACC1002X,LECTURE B2,7,1,12,1,12,SCHOOL OF COMPUTING,Returning Students and New Students [P]
9,ACC1002X,LECTURE B2,21,0,0,0,0,SCHOOL OF BUSINESS,Returning Students and New Students [P]
10,ACC1002X,LECTURE B2,1,2,40,253,253,JOINT MULTI-DISCIPLINARY PROGRAMMES,Returning Students and New Students [P]
11,ACC1002X,LECTURE B2,3,8,386,850,999,SCHOOL OF BUSINESS,NUS Students [G]
12,ACC1006,LECTURE C1,23,3,1,1,100,SCHOOL OF BUSINESS,Returning Students and New Students [P]
13,ACC1006,LECTURE C2,39,0,0,0,0,SCHOOL OF BUSINESS,Returning Students and New Students [P]
14,ACC2002,LECTURE B1,12,1,1,1,1,SCHOOL OF COMPUTING,Returning Students and New Students [P]
15,ACC2002,LECTURE B1,36,0,0,0,0,SCHOOL OF BUSINESS,Returning Students and New Students [P]
16,ACC2002,LECTURE B2,15,0,0,0,0,SCHOOL OF COMPUTING,Returning Students and New Students [P]
17,ACC2002,LECTURE B2,51,0,0,0,0,SCHOOL OF BUSINESS,Returning Students and New Students [P]
18,ACC2002,LECTURE B2,8,1,1,1,1,SCHOOL OF BUSINESS,NUS Students [G]
19,ACC4611,SECTIONAL TEACHING J1,19,0,0,0,0,SCHOOL OF BUSINESS,Returning Students and New Students [P]
20,AR1102,DESIGN LECTURE 1,29,5,1,1,20,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and New Students [P]
21,AR1326,LECTURE 1,37,5,1,1,200,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and New Students [P]
22,AR1721,LECTURE 1,51,6,1,1,200,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and New Students [P]
23,AR2102,DESIGN LECTURE 1,58,14,1,1,10,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and New Students [P]
24,AR2223,LECTURE 1,54,14,1,1,10,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and New Students [P]
25,AR2326,LECTURE 1,43,15,1,1,10,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and New Students [P]
26,AR2724,LECTURE 1,48,16,1,1,10,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and New Students [P]
27,AR3102,DESIGN LECTURE 1,39,11,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and New Students [P]
28,AR3323,LECTURE 1,36,10,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and New Students [P]
29,AR3324,LECTURE 1,32,9,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and New Students [P]
30,AR4102,DESIGN LECTURE 1,31,8,1,1,100,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and New Students [P]
31,AR4104,DESIGN LECTURE 1,37,6,1,1,100,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and New Students [P]
32,AR4323,LECTURE 1,37,7,1,1,5000,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and New Students [P]
33,AR5011,LECTURE 1,53,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and New Students [P]
34,BN4201,LECTURE 1,4,3,2000,1,5905,ENGINEERING,Returning Students and New Students [P]
35,BN4202,LECTURE 1,19,0,0,0,0,ENGINEERING,Returning Students and New Students [P]
36,BN4402,LECTURE 1,14,1,1,1,1,ENGINEERING,Returning Students and New Students [P]
37,BSP1004,LECTURE D1,3,4,201,201,501,SCIENCE,Returning Students and New Students [P]
38,BSP1004,LECTURE D1,11,3,1,1,300,ENGINEERING,Returning Students and New Students [P]
39,BSP1004,LECTURE D1,15,0,0,0,0,SCHOOL OF COMPUTING,Returning Students and New Students [P]
40,BSP1004,LECTURE D1,1,2,100,365,365,SCHOOL OF BUSINESS,Returning Students and New Students [P]
41,BSP1004,LECTURE D1,3,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [G]
42,BSP1004,LECTURE D2,2,1,408,1,408,SCIENCE,Returning Students and New Students [P]
43,BSP1004,LECTURE D2,6,5,1,1,2000,ENGINEERING,Returning Students and New Students [P]
44,BSP1004,LECTURE D2,10,0,0,0,0,SCHOOL OF COMPUTING,Returning Students and New Students [P]
45,BSP1004,LECTURE D2,31,2,1,1,10,SCHOOL OF BUSINESS,Returning Students and New Students [P]
46,BSP1004,LECTURE D2,2,0,0,0,0,JOINT MULTI-DISCIPLINARY PROGRAMMES,Returning Students and New Students [P]
47,BSP1004,LECTURE D2,8,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [G]
48,BSP1005,LECTURE F1,3,1,1,1,1,SCIENCE,Returning Students and New Students [P]
49,BSP1005,LECTURE F1,11,13,100,200,3059,ENGINEERING,Returning Students and New Students [P]
50,BSP1005,LECTURE F1,13,1,1,1,1,SCHOOL OF COMPUTING,Returning Students and New Students [P]
51,BSP1005,LECTURE F1,3,3,1,1,501,SCHOOL OF BUSINESS,Returning Students and New Students [P]
52,BSP1005,LECTURE F1,3,1,1,1,1,SCHOOL OF BUSINESS,NUS Students [G]
53,BSP1005,LECTURE F2,3,1,100,1,100,SCIENCE,Returning Students and New Students [P]
54,BSP1005,LECTURE F2,11,12,13,31,1387,ENGINEERING,Returning Students and New Students [P]
55,BSP1005,LECTURE F2,18,0,0,0,0,SCHOOL OF COMPUTING,Returning Students and New Students [P]
56,BSP1005,LECTURE F2,14,0,0,0,0,SCHOOL OF BUSINESS,Returning Students and New Students [P]
57,BSP1005,LECTURE F2,1,2,566,659,659,JOINT MULTI-DISCIPLINARY PROGRAMMES,Returning Students and New Students [P]
58,BSP1005,LECTURE F2,3,2,5,1,100,SCHOOL OF BUSINESS,NUS Students [G]
59,BSP2001,LECTURE A1,29,3,1,1,52,SCHOOL OF BUSINESS,Returning Students and New Students [P]
60,BSP2001,LECTURE A1,7,2,1,1,1089,SCHOOL OF BUSINESS,NUS Students [G]
61,BSP2001,LECTURE A2,38,0,0,0,0,SCHOOL OF BUSINESS,Returning Students and New Students [P]
62,BSP2001,LECTURE A2,7,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [G]
63,BSP2005,LECTURE E1,15,0,0,0,0,SCHOOL OF COMPUTING,Returning Students and New Students [P]
64,BSP2005,LECTURE E1,50,0,0,0,0,SCHOOL OF BUSINESS,Returning Students and New Students [P]
65,BSP2005,LECTURE E1,5,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [G]
66,BSP2005,LECTURE E2,15,0,0,0,0,SCHOOL OF COMPUTING,Returning Students and New Students [P]
67,BSP2005,LECTURE E2,55,3,1,1,2000,SCHOOL OF BUSINESS,Returning Students and New Students [P]
68,BSP2005,LECTURE E2,5,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [G]
69,BSP3001,SECTIONAL TEACHING A1,11,0,0,0,0,SCHOOL OF BUSINESS,Returning Students and New Students [P]
70,BSP3001,SECTIONAL TEACHING A2,15,0,0,0,0,SCHOOL OF BUSINESS,Returning Students and New Students [P]
71,BSP3001,SECTIONAL TEACHING A3,16,0,0,0,0,SCHOOL OF BUSINESS,Returning Students and New Students [P]
72,BSP3001,SECTIONAL TEACHING A4,12,0,0,0,0,SCHOOL OF BUSINESS,Returning Students and New Students [P]
