,Module,Group,Quota,NoofBidders,LowestBid,LowestSuccBid,HighestBid,Faculty,Student Type[Acct Type]
0,ACC1002X,LECTURE X1,1,17,2,3696,3696,SCHOOL OF BUSINESS,"NUS Students [P, G]"
1,ACC2002,LECTURE B1,13,13,1,1,902,SCHOOL OF BUSINESS,"NUS Students [P, G]"
2,ACC4612D,SECTIONAL TEACHING D1,27,1,1000,1,1000,SCHOOL OF BUSINESS,"NUS Students [P, G]"
3,AR1101,DESIGN LECTURE 1,21,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
4,AR1327,LECTURE 1,15,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
5,AR2101,DESIGN LECTURE 1,33,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
6,AR2521,LECTURE 1,30,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
7,AR2723,LECTURE 1,30,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
8,AR3101,DESIGN LECTURE 1,11,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
9,AR4101,DESIGN LECTURE 1,6,2,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
10,AR4103,DESIGN LECTURE 1,23,1,5000,1,5000,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
11,AR4322,LECTURE 1,22,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
12,AR5011,LECTURE 1,10,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
13,AR5312,LECTURE 1,3,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
14,AR5321,LECTURE 1,25,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
15,AS2236,LECTURE 1,7,4,5,1,200,ARTS & SOCIAL SCIENCES,"NUS Students [P, G]"
16,AS2237,LECTURE 1,9,2,1,1,50,ARTS & SOCIAL SCIENCES,"NUS Students [P, G]"
17,AS3238,LECTURE 1,3,2,1,1,1,ARTS & SOCIAL SCIENCES,"NUS Students [P, G]"
