,Module,Group,Quota,NoofBidders,LowestBid,LowestSuccBid,HighestBid,Faculty,Student Type[Acct Type]
0,ACC1002,LECTURE V1,20,1,102,1,102,SCHOOL OF BUSINESS,Returning Students and New Students [P]
1,ACC1002X,LECTURE X1,18,0,0,0,0,SCIENCE,Returning Students and New Students [P]
2,ACC1002X,LECTURE X1,18,0,0,0,0,LAW,Returning Students and New Students [P]
3,ACC1002X,LECTURE X1,58,4,99,1,3303,ENGINEERING,Returning Students and New Students [P]
4,ACC1002X,LECTURE X1,39,0,0,0,0,SCHOOL OF COMPUTING,Returning Students and New Students [P]
5,ACC1002X,LECTURE X1,4,0,0,0,0,JOINT MULTI-DISCIPLINARY PROGRAMMES,Returning Students and New Students [P]
6,ACC1002X,LECTURE X1,5,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [G]
7,ACC1002X,LECTURE X2,14,0,0,0,0,SCIENCE,Returning Students and New Students [P]
8,ACC1002X,LECTURE X2,86,15,1,1,1000,ENGINEERING,Returning Students and New Students [P]
9,ACC1002X,LECTURE X2,10,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [G]
10,ACC1002X,LECTURE X3,14,0,0,0,0,SCIENCE,Returning Students and New Students [P]
11,ACC1002X,LECTURE X3,5,5,1,1,3270,ENGINEERING,Returning Students and New Students [P]
12,ACC1002X,LECTURE X3,10,1,624,1,624,SCHOOL OF BUSINESS,NUS Students [G]
13,ACC2002,LECTURE K1,15,0,0,0,0,SCHOOL OF COMPUTING,Returning Students and New Students [P]
14,ACC2002,LECTURE K1,2,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [G]
15,ACC2002,LECTURE K2,15,0,0,0,0,SCHOOL OF COMPUTING,Returning Students and New Students [P]
16,ACC2002,LECTURE K2,4,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [G]
17,ACC4611,SECTIONAL TEACHING K1,13,5,100,1,1946,SCHOOL OF BUSINESS,Returning Students and New Students [P]
18,ACC4611,SECTIONAL TEACHING K1,2,0,0,0,0,SCHOOL OF BUSINESS,Reserved for [G] in later round
19,ACC4612A,SECTIONAL TEACHING A1,2,0,0,0,0,SCHOOL OF BUSINESS,Reserved for [G] in later round
20,ACC4612E,SECTIONAL TEACHING E1,4,0,0,0,0,SCHOOL OF BUSINESS,Returning Students and New Students [P]
21,ACC4612E,SECTIONAL TEACHING E1,2,0,0,0,0,SCHOOL OF BUSINESS,Reserved for [G] in later round
22,AR1102,DESIGN LECTURE 1,10,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and New Students [P]
23,AR1326,LECTURE 1,48,2,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and New Students [P]
24,AR1721,LECTURE 1,49,2,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and New Students [P]
25,AR1724,LECTURE 1,60,2,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and New Students [P]
26,AR2102,DESIGN LECTURE 1,15,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and New Students [P]
27,AR2225,LECTURE 1,5,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and New Students [P]
28,AR2327,LECTURE 1,29,2,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and New Students [P]
29,AR2723,LECTURE 1,1,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and New Students [P]
30,AR3102,DESIGN LECTURE 1,16,7,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and New Students [P]
31,AR3721,LECTURE 1,22,8,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and New Students [P]
32,AR4102,DESIGN LECTURE 1,12,6,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and New Students [P]
33,AR4104,DESIGN LECTURE 1,17,6,1,1,99,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and New Students [P]
34,AR4323,LECTURE 1,6,1,99,1,99,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and New Students [P]
35,AR5221,LECTURE 1,21,7,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students and New Students [P]
36,AS3231,SEMINAR-STYLE MODULE CLASS 1,2,0,0,0,0,ARTS & SOCIAL SCIENCES,Returning Students and New Students [P]
37,AS3231,SEMINAR-STYLE MODULE CLASS 1,1,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
38,BN4201,LECTURE 1,5,3,31,1,901,ENGINEERING,Returning Students and New Students [P]
39,BN4402,LECTURE 1,29,3,1,1,800,ENGINEERING,Returning Students and New Students [P]
40,BN4404,LECTURE 1,10,0,0,0,0,ENGINEERING,Returning Students and New Students [P]
41,BSP1004FC,LECTURE Y1,14,1,1,1,1,SCIENCE,Returning Students and New Students [P]
42,BSP1004FC,LECTURE Y1,44,3,1,1,1,ENGINEERING,Returning Students and New Students [P]
43,BSP1004FC,LECTURE Y1,60,0,0,0,0,SCHOOL OF COMPUTING,Returning Students and New Students [P]
