,Module,Group,Quota,NoofBidders,LowestBid,LowestSuccBid,HighestBid,Faculty,Student Type[Acct Type]
0,ACC1002,LECTURE B1,10,21,30,640,746,SCHOOL OF BUSINESS,New Students [P]
1,ACC1002X,LECTURE B1,1,12,700,5201,5201,ENGINEERING,Returning Students [P]
2,ACC1002X,LECTURE B1,8,9,1,351,2277,SCHOOL OF COMPUTING,Returning Students [P]
3,ACC1002X,LECTURE B1,22,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P]
4,ACC1002X,LECTURE B1,9,20,60,201,514,SCIENCE,New Students [P]
5,ACC1002X,LECTURE B1,40,57,1,650,748,ENGINEERING,New Students [P]
6,ACC1002X,LECTURE B1,50,26,1,1,125,SCHOOL OF COMPUTING,New Students [P]
7,ACC1002X,LECTURE B2,5,18,1,2600,4000,SCIENCE,Returning Students [P]
8,ACC1002X,LECTURE B2,17,7,1,1,3500,SCHOOL OF COMPUTING,Returning Students [P]
9,ACC1002X,LECTURE B2,36,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P]
10,ACC1002X,LECTURE B2,11,17,100,202,600,SCIENCE,New Students [P]
11,ACC1002X,LECTURE B2,60,67,5,100,748,ENGINEERING,New Students [P]
12,ACC1002X,LECTURE B2,40,44,7,20,500,SCHOOL OF COMPUTING,New Students [P]
13,ACC1006,LECTURE C,2,13,52,1995,2020,SCHOOL OF BUSINESS,Returning Students [P]
14,ACC1006,LECTURE C,2,3,100,650,2167,SCHOOL OF BUSINESS,New Students [P]
15,ACC2002,LECTURE B,4,0,0,0,0,SCHOOL OF COMPUTING,Returning Students [P]
16,ACC2002,LECTURE B,2,0,0,0,0,SCHOOL OF COMPUTING,New Students [P]
17,ACC3601,SECTIONAL TEACHING A1,9,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P]
18,ACC3601,SECTIONAL TEACHING A2,37,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P]
19,ACC3601,SECTIONAL TEACHING A3,27,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P]
20,ACC3602,SECTIONAL TEACHING B1,13,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P]
21,ACC3602,SECTIONAL TEACHING B2,6,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P]
22,ACC3603,SECTIONAL TEACHING C2,6,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P]
23,ACC3604,SECTIONAL TEACHING D2,7,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P]
24,ACC3605,SECTIONAL TEACHING E1,3,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P]
25,ACC3605,SECTIONAL TEACHING E2,14,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P]
26,ACC3614,SECTIONAL TEACHING H1,20,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P]
27,AR1101,DESIGN TUTORIAL 1,168,142,1,1,100,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
28,AR1121,LECTURE 1,168,140,1,1,100,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
29,AR1221,LECTURE 1,208,188,1,1,100,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
30,AR2101,DESIGN TUTORIAL 1,14,2,1,1,10,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
31,AR2221,LECTURE 1,12,12,1,1,2000,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
32,AR3101,DESIGN TUTORIAL 1,64,5,1,1,2,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
33,AR3222,LECTURE 1,53,6,1,1,10,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
34,AR3222,LECTURE 1,20,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Reserved for [G] in later round
35,AR4101,DESIGN TUTORIAL 1,44,1,200,1,200,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
36,AR4101,DESIGN TUTORIAL 3,1,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
37,AR4103,DESIGN TUTORIAL 1,18,6,1,1,10,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
38,AR4103,DESIGN TUTORIAL 3,1,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
39,AR5011,LECTURE 1,78,2,10,1,200,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
40,AR5321,LECTURE 1,26,7,1,1,200,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
