,Module,Group,Quota,NoofBidders,LowestBid,LowestSuccBid,HighestBid,Faculty,Student Type[Acct Type]
0,ACC1002,LECTURE V01,12,0,0,0,0,SCHOOL OF BUSINESS,Returning Students and New Students [P]
1,ACC1002,LECTURE V02,14,0,0,0,0,SCHOOL OF BUSINESS,Returning Students and New Students [P]
2,ACC1002X,LECTURE X1,15,0,0,0,0,SCIENCE,Returning Students and New Students [P]
3,ACC1002X,LECTURE X1,18,0,0,0,0,LAW,Returning Students and New Students [P]
4,ACC1002X,LECTURE X1,86,8,1,1,3500,ENGINEERING,Returning Students and New Students [P]
5,ACC1002X,LECTURE X1,39,0,0,0,0,SCHOOL OF COMPUTING,Returning Students and New Students [P]
6,ACC1002X,LECTURE X1,9,1,3271,1,3271,JOINT MULTI-DISCIPLINARY PROGRAMMES,Returning Students and New Students [P]
7,ACC1002X,LECTURE X1,5,2,52,1,150,SCHOOL OF BUSINESS,NUS Students [G]
8,ACC1002X,LECTURE X2,33,1,1,1,1,SCIENCE,Returning Students and New Students [P]
9,ACC1002X,LECTURE X2,146,12,1,1,200,ENGINEERING,Returning Students and New Students [P]
10,ACC1002X,LECTURE X2,10,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [G]
11,ACC1002X,LECTURE X3,102,5,1,1,5046,ENGINEERING,Returning Students and New Students [P]
12,ACC1002X,LECTURE X3,17,0,0,0,0,SCHOOL OF COMPUTING,Returning Students and New Students [P]
13,ACC1002X,LECTURE X3,8,1,900,1,900,SCHOOL OF BUSINESS,NUS Students [G]
14,ACC2002,SECTIONAL TEACHING K1,6,0,0,0,0,SCHOOL OF COMPUTING,Returning Students and New Students [P]
15,ACC2002,SECTIONAL TEACHING K4,3,0,0,0,0,SCIENCE,Returning Students and New Students [P]
16,ACC2002,SECTIONAL TEACHING K5,3,0,0,0,0,SCHOOL OF COMPUTING,Returning Students and New Students [P]
17,ACC2002,SECTIONAL TEACHING K6,7,0,0,0,0,SCHOOL OF COMPUTING,Returning Students and New Students [P]
18,ACC2002,SECTIONAL TEACHING K7,4,0,0,0,0,SCHOOL OF COMPUTING,Returning Students and New Students [P]
19,ACC2002,SECTIONAL TEACHING K8,2,0,0,0,0,SCIENCE,Returning Students and New Students [P]
20,ACC2002,SECTIONAL TEACHING K8,3,0,0,0,0,SCHOOL OF COMPUTING,Returning Students and New Students [P]
21,ACC2002,SECTIONAL TEACHING K9,7,0,0,0,0,SCHOOL OF COMPUTING,Returning Students and New Students [P]
22,ACC4611,SECTIONAL TEACHING K1,10,1,2500,1,2500,SCHOOL OF BUSINESS,Returning Students and New Students [P]
