,Module,Group,Quota,NoofBidders,LowestBid,LowestSuccBid,HighestBid,Faculty,Student Type[Acct Type]
0,ACC1002,LECTURE V1,10,16,1,217,745,SCHOOL OF BUSINESS,NUS Students [P]
1,ACC1002,LECTURE V2,8,12,1,400,700,SCHOOL OF BUSINESS,NUS Students [P]
2,ACC1002X,LECTURE X1,20,48,11,1001,3000,SCHOOL OF BUSINESS,"NUS Students [P, G]"
3,ACC1002X,LECTURE X2,4,14,341,1278,1744,SCHOOL OF BUSINESS,"NUS Students [P, G]"
4,ACC1002X,LECTURE X3,3,9,2,1800,1941,SCHOOL OF BUSINESS,"NUS Students [P, G]"
5,ACC2002,LECTURE B1,5,9,100,1003,2104,SCHOOL OF BUSINESS,"NUS Students [P, G]"
6,ACC2002,LECTURE B2,10,16,300,563,1500,SCHOOL OF BUSINESS,"NUS Students [P, G]"
7,ACC4611,SECTIONAL TEACHING K1,19,1,1,1,1,SCHOOL OF BUSINESS,NUS Students [P]
8,ACC4612D,SECTIONAL TEACHING D1,4,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [P]
9,ACC4612E,SECTIONAL TEACHING E1,17,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [P]
10,ACC5001,SECTIONAL TEACHING E1,6,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [P]
11,AR1101,DESIGN LECTURE 1,15,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
12,AR1327,LECTURE 1,9,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
13,AR2101,DESIGN LECTURE 1,47,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
14,AR2223,LECTURE 1,47,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
15,AR2224,LECTURE 1,1,5,50,1091,1091,SCHOOL OF DESIGN AND ENVIRONMENT,"NUS Students [P, G]"
16,AR2225,LECTURE 1,5,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
17,AR2521,LECTURE 1,55,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
18,AR3101,DESIGN LECTURE 1,10,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
19,AR3421,LECTURE 1,10,2,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
20,AR4101,DESIGN LECTURE 1,7,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
21,AR4103,DESIGN LECTURE 1,2,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
22,AR5011,LECTURE 1,16,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
23,AR5312,LECTURE 1,4,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
24,AR5321,LECTURE 1,22,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
25,AS3239,LECTURE 1,2,0,0,0,0,ARTS & SOCIAL SCIENCES,"NUS Students [P, G]"
26,BN4202,LECTURE 1,5,3,1,1,1000,ENGINEERING,NUS Students [P]
27,BN4406,LECTURE 1,60,1,1,1,1,ENGINEERING,NUS Students [P]
