,Module,Group,Quota,NoofBidders,LowestBid,LowestSuccBid,HighestBid,Faculty,Student Type[Acct Type]
0,ACC1002X,LECTURE X1,42,28,1,1,2563,ENGINEERING,Returning Students [P]
1,ACC1002X,LECTURE X1,15,2,1,1,1,SCHOOL OF COMPUTING,Returning Students [P]
2,ACC1002X,LECTURE X1,2,3,1,170,170,JOINT MULTI-DISCIPLINARY PROGRAMMES,Returning Students [P]
3,ACC1002X,LECTURE X1,30,13,1,1,128,ENGINEERING,New Students [P]
4,ACC1002X,LECTURE X1,40,15,1,1,200,SCHOOL OF COMPUTING,New Students [P]
5,ACC1002X,LECTURE X1,4,0,0,0,0,JOINT MULTI-DISCIPLINARY PROGRAMMES,New Students [P]
6,ACC1002X,LECTURE X1,10,5,1,1,700,SCHOOL OF BUSINESS,NUS Students [G]
7,ACC1002X,LECTURE X2,11,14,1,500,2022,ENGINEERING,Returning Students [P]
8,ACC1002X,LECTURE X2,18,1,1,1,1,SCHOOL OF COMPUTING,Returning Students [P]
9,ACC1002X,LECTURE X2,40,11,1,1,250,ENGINEERING,New Students [P]
10,ACC1002X,LECTURE X2,40,12,1,1,373,SCHOOL OF COMPUTING,New Students [P]
11,ACC1002X,LECTURE X2,20,1,1,1,1,SCHOOL OF BUSINESS,NUS Students [G]
12,ACC1002X,LECTURE X3,69,16,1,1,3000,ENGINEERING,Returning Students [P]
13,ACC1002X,LECTURE X3,4,2,1,1,2,ENGINEERING,New Students [P]
14,ACC1002X,LECTURE X3,15,1,101,1,101,SCHOOL OF BUSINESS,NUS Students [G]
15,ACC4611,SECTIONAL TEACHING K1,10,2,1,1,1000,SCHOOL OF BUSINESS,Returning Students [P]
16,ACC4611,SECTIONAL TEACHING K1,2,0,0,0,0,SCHOOL OF BUSINESS,Reserved for [G] in later round
17,ACC4612D,SECTIONAL TEACHING D1,1,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P]
18,ACC4612E,SECTIONAL TEACHING E1,2,0,0,0,0,SCHOOL OF BUSINESS,Reserved for [G] in later round
19,ACC4613,SECTIONAL TEACHING K1,2,0,0,0,0,SCHOOL OF BUSINESS,Reserved for [G] in later round
20,ACC5001,SECTIONAL TEACHING E1,1,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P]
21,AR1101,DESIGN LECTURE 1,125,109,1,1,100,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
22,AR1327,LECTURE 1,155,142,1,1,200,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
23,AR2101,DESIGN LECTURE 1,18,3,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
24,AR2221,LECTURE 1,5,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [G]
25,AR2222,LECTURE 1,30,5,1,1,50,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [G]
26,AR2223,LECTURE 1,19,3,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
27,AR2224,LECTURE 1,60,81,250,500,748,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
28,AR2224,LECTURE 1,5,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [G]
29,AR2225,LECTURE 1,60,32,1,1,150,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
30,AR2521,LECTURE 1,23,4,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
31,AR3101,DESIGN LECTURE 1,22,3,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
