,Module,Group,Quota,NoofBidders,LowestBid,LowestSuccBid,HighestBid,Faculty,Student Type[Acct Type]
0,ACC1002X,LECTURE B1,22,43,1,2300,4447,SCHOOL OF BUSINESS,Returning Students [P] and NUS Students [G]
1,ACC1002X,LECTURE B1,24,8,1,1,350,SCHOOL OF COMPUTING,New Students [P]
2,ACC1002X,LECTURE B2,46,74,1,1738,5218,SCHOOL OF BUSINESS,Returning Students [P] and NUS Students [G]
3,ACC2002,LECTURE B,4,16,10,1915,1958,SCHOOL OF BUSINESS,Returning Students [P] and NUS Students [G]
4,ACC2002,LECTURE B,2,0,0,0,0,SCHOOL OF COMPUTING,New Students [P]
5,ACC3601,SECTIONAL TEACHING A1,9,17,74,1002,1513,SCHOOL OF BUSINESS,Returning Students [P]
6,ACC3601,SECTIONAL TEACHING A2,37,15,27,1,1413,SCHOOL OF BUSINESS,Returning Students [P]
7,ACC3601,SECTIONAL TEACHING A3,27,45,120,1305,2000,SCHOOL OF BUSINESS,Returning Students [P]
8,ACC3602,SECTIONAL TEACHING B1,13,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P]
9,ACC3602,SECTIONAL TEACHING B2,6,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P]
10,ACC3603,SECTIONAL TEACHING C2,6,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P]
11,ACC3604,SECTIONAL TEACHING D2,7,3,1,1,88,SCHOOL OF BUSINESS,Returning Students [P]
12,ACC3605,SECTIONAL TEACHING E1,3,2,1,1,88,SCHOOL OF BUSINESS,Returning Students [P]
13,ACC3605,SECTIONAL TEACHING E2,14,1,50,1,50,SCHOOL OF BUSINESS,Returning Students [P]
14,ACC3614,SECTIONAL TEACHING H1,20,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P]
15,AR1101,DESIGN TUTORIAL 1,26,4,1,1,2,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
16,AR1121,LECTURE 1,28,4,1,1,2,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
17,AR1221,LECTURE 1,20,8,1,1,59,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
18,AR2101,DESIGN TUTORIAL 1,12,4,1,1,51,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
19,AR2723,LECTURE 1,10,19,1,51,2390,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
20,AR3101,DESIGN TUTORIAL 1,59,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
21,AR3222,LECTURE 1,67,29,1,1,1349,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P] and NUS Students [G]
22,AR4101,DESIGN TUTORIAL 1,43,1,10,1,10,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
23,AR4101,DESIGN TUTORIAL 3,1,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
24,AR4103,DESIGN TUTORIAL 1,12,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
25,AR4103,DESIGN TUTORIAL 3,1,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
26,AR5011,LECTURE 1,76,2,1,1,10,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
27,AR5321,LECTURE 1,19,3,10,1,5000,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
28,AR5610,LECTURE 1,6,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
29,AR5610,LECTURE 1,5,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
30,AS2213,LECTURE 1,3,0,0,0,0,ARTS & SOCIAL SCIENCES,Returning Students [P] and NUS Students [G]
31,AS2213,LECTURE 1,1,0,0,0,0,ARTS & SOCIAL SCIENCES,New Students [P]
32,AS2237,LECTURE 1,2,2,200,1,239,ARTS & SOCIAL SCIENCES,Returning Students [P] and NUS Students [G]
33,AS3234,LECTURE 1,2,1,1,1,1,ARTS & SOCIAL SCIENCES,Returning Students [P] and NUS Students [G]
34,AS3234,LECTURE 1,1,0,0,0,0,ARTS & SOCIAL SCIENCES,New Students [P]
35,AS3238,LECTURE 1,1,0,0,0,0,ARTS & SOCIAL SCIENCES,Returning Students [P]
36,BCP4002A,LECTURE ZA1,498,5,1,1,1000,SCHOOL OF BUSINESS,Returning Students [P]
37,BCP4002B,LECTURE ZB1,500,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P]
38,BHT4001A,LECTURE ZA1,500,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P]
39,BHT4001B,LECTURE ZB1,500,1,1,1,1,SCHOOL OF BUSINESS,Returning Students [P]
40,BHT4001C,LECTURE ZC1,500,1,1,1,1,SCHOOL OF BUSINESS,Returning Students [P]
