,Module,Group,Quota,NoofBidders,LowestBid,LowestSuccBid,HighestBid,Faculty,Student Type[Acct Type]
0,ACC1002,LECTURE V1,44,1,1,1,1,SCHOOL OF BUSINESS,NUS Students [P]
1,ACC1002X,LECTURE X1,150,167,18,160,4574,SCHOOL OF BUSINESS,"NUS Students [P, G]"
2,ACC1002X,LECTURE X2,117,132,1,299,3928,SCHOOL OF BUSINESS,"NUS Students [P, G]"
3,ACC1006,LECTURE J1,26,0,0,0,0,SCHOOL OF BUSINESS,"NUS Students [P, G]"
4,ACC2002,LECTURE K1,31,8,1,1,411,SCHOOL OF BUSINESS,"NUS Students [P, G]"
5,ACC2002,LECTURE K2,70,4,1,1,100,SCHOOL OF BUSINESS,"NUS Students [P, G]"
6,ACC4611,SECTIONAL TEACHING K1,2,2,15,1,501,SCHOOL OF BUSINESS,NUS Students [P]
7,ACC4612A,SECTIONAL TEACHING L1,2,11,1,4042,4811,SCHOOL OF BUSINESS,"NUS Students [P, G]"
8,ACC4612C,SECTIONAL TEACHING C1,2,3,10,20,571,SCHOOL OF BUSINESS,"NUS Students [P, G]"
9,ACC4612E,SECTIONAL TEACHING E1,2,3,2268,4243,4685,SCHOOL OF BUSINESS,"NUS Students [P, G]"
10,AR1102,DESIGN LECTURE 1,19,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
11,AR1326,LECTURE 1,41,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
12,AR1721,LECTURE 1,46,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
13,AR1724,LECTURE 1,45,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
14,AR2102,DESIGN LECTURE 1,15,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
15,AR2225,LECTURE 1,5,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
16,AR2327,LECTURE 1,41,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
17,AR2723,LECTURE 1,18,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
18,AR3102,DESIGN LECTURE 1,12,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
19,AR3721,LECTURE 1,21,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
20,AR4102,DESIGN LECTURE 1,17,3,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
21,AR4104,DESIGN LECTURE 1,6,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
22,AR4323,LECTURE 1,13,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
23,AR5011,LECTURE 1,49,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
24,AR5221,LECTURE 1,12,2,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
25,BN4402,LECTURE 1,17,0,0,0,0,ENGINEERING,NUS Students [P]
26,BN4404,LECTURE 1,3,1,3422,1,3422,ENGINEERING,NUS Students [P]
27,BSP1004X,LECTURE Y1,104,47,1,1,2000,SCHOOL OF BUSINESS,"NUS Students [P, G]"
28,BSP1005,LECTURE D1,109,3,1,1,698,SCHOOL OF BUSINESS,"NUS Students [P, G]"
29,BSP1005,LECTURE D2,126,7,1,1,2312,SCHOOL OF BUSINESS,"NUS Students [P, G]"
30,BSP2001,LECTURE G1,98,5,1,1,400,SCHOOL OF BUSINESS,"NUS Students [P, G]"
31,BSP2001,LECTURE G2,107,1,1,1,1,SCHOOL OF BUSINESS,"NUS Students [P, G]"
32,BSP2005,LECTURE E1,17,6,4,1,2812,SCHOOL OF BUSINESS,"NUS Students [P, G]"
33,BSP2005,LECTURE E2,17,14,5,1,3000,SCHOOL OF BUSINESS,"NUS Students [P, G]"
34,BSP4512,SECTIONAL TEACHING D1,22,0,0,0,0,SCHOOL OF BUSINESS,"NUS Students [P, G]"
35,CE2112,LECTURE 1,48,2,1,1,20,ENGINEERING,"NUS Students [P, G]"
36,CE2183,LECTURE 1,49,3,1,1,100,ENGINEERING,"NUS Students [P, G]"
37,CE3101,PACKAGED LECTURE 1,23,1,1,1,1,ENGINEERING,"NUS Students [P, G]"
38,CE3116,LECTURE 1,22,1,1,1,1,ENGINEERING,NUS Students [P]
39,CE3132,LECTURE 1,23,1,1,1,1,ENGINEERING,NUS Students [P]
40,CE3155,LECTURE 1,14,0,0,0,0,ENGINEERING,NUS Students [P]
41,CE3165,LECTURE 1,15,1,1,1,1,ENGINEERING,NUS Students [P]
42,CE4103,LECTURE DSG,4,1,1,1,1,ENGINEERING,NUS Students [P]
43,CE4104,LECTURE PRJ,28,2,1,1,11,ENGINEERING,NUS Students [P]
44,CE4231,LECTURE 1,21,2,1,1,1,ENGINEERING,NUS Students [P]
45,CE4247,PACKAGED LECTURE 1,33,0,0,0,0,ENGINEERING,NUS Students [P]
46,CE4258,LECTURE 1,13,1,100,1,100,ENGINEERING,NUS Students [P]
47,CE4282,LECTURE 1,4,1,1,1,1,ENGINEERING,NUS Students [P]
48,CE5105,LECTURE 1,15,3,1,1,103,ENGINEERING,NUS Students [P]
49,CE5106,LECTURE 1,11,1,1,1,1,ENGINEERING,NUS Students [P]
50,CE5107,LECTURE 1,12,0,0,0,0,ENGINEERING,NUS Students [P]
51,CE5207,LECTURE 1,11,0,0,0,0,ENGINEERING,NUS Students [P]
52,CE5308,LECTURE 1,11,0,0,0,0,ENGINEERING,NUS Students [P]
53,CE5313,LECTURE 1,7,0,0,0,0,ENGINEERING,NUS Students [P]
54,CE5603,LECTURE 1,5,0,0,0,0,ENGINEERING,NUS Students [P]
55,CE5604,LECTURE 1,11,5,1,1,2401,ENGINEERING,NUS Students [P]
56,CE5611,LECTURE 1,6,0,0,0,0,ENGINEERING,NUS Students [P]
57,CE5805,LECTURE 1,9,2,1,1,100,ENGINEERING,NUS Students [P]
58,CE5881,LECTURE 1,6,0,0,0,0,ENGINEERING,NUS Students [P]
59,CE5883A,LECTURE 1,2,0,0,0,0,ENGINEERING,NUS Students [P]
60,CG3204L,LECTURE 1,8,0,0,0,0,JOINT MULTI-DISCIPLINARY PROGRAMMES,NUS Students [P]
61,CH1101E,LECTURE 1,48,28,1,1,441,ARTS & SOCIAL SCIENCES,"NUS Students [P, G]"
62,CH2141,LECTURE 1,50,11,1,1,400,ARTS & SOCIAL SCIENCES,"NUS Students [P, G]"
63,CH2223,LECTURE 1,30,4,1,1,100,ARTS & SOCIAL SCIENCES,"NUS Students [P, G]"
64,CH2273,LECTURE 1,15,9,1,1,1346,ARTS & SOCIAL SCIENCES,"NUS Students [P, G]"
65,CH2291,LECTURE 1,57,10,1,1,1249,ARTS & SOCIAL SCIENCES,"NUS Students [P, G]"
