,Module,Group,Quota,No. ofBidders,LowestBid,LowestSuccBid,HighestBid,Faculty,Student Type[Acct Type]
1065,LAG1201,LECTURE 8,4,2,1,1,21,ARTS & SOCIAL SCIENCES,Returning Students [P]
1066,LAG1201,LECTURE 8,5,2,1,1,1,ARTS & SOCIAL SCIENCES,New Students [P]
1067,LAG1201,LECTURE 8,4,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
1068,LAG1201,LECTURE 9,4,2,10,1,1400,ARTS & SOCIAL SCIENCES,Returning Students [P]
1069,LAG1201,LECTURE 9,5,0,0,0,0,ARTS & SOCIAL SCIENCES,New Students [P]
1070,LAG1201,LECTURE 9,3,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
1071,LAG2201,LECTURE 1,7,3,1,1,419,ARTS & SOCIAL SCIENCES,Returning Students [P]
1072,LAG2201,LECTURE 1,5,0,0,0,0,ARTS & SOCIAL SCIENCES,New Students [P]
1073,LAG2201,LECTURE 1,10,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
1074,LAG2201,LECTURE 2,8,5,100,1,1253,ARTS & SOCIAL SCIENCES,Returning Students [P]
1075,LAG2201,LECTURE 2,5,0,0,0,0,ARTS & SOCIAL SCIENCES,New Students [P]
1076,LAG2201,LECTURE 2,10,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
1077,LAG2201,LECTURE 3,10,3,1,1,300,ARTS & SOCIAL SCIENCES,Returning Students [P]
