,Module,Group,Quota,No. ofBidders,LowestBid,LowestSuccBid,HighestBid,Faculty,Student Type[Acct Type]
879,HY3245,LECTURE 1,3,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
880,HY4101,LECTURE 1,6,1,10,1,10,ARTS & SOCIAL SCIENCES,Returning Students [P]
881,HY4214,LECTURE 1,12,3,31,1,601,ARTS & SOCIAL SCIENCES,Returning Students [P]
882,ID1103,DESIGN TUTORIAL 1,36,11,1,1,60,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
883,ID1111,DESIGN TUTORIAL 1,35,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
884,ID1321,PACKAGED LECTURE 1,35,10,1,1,70,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
885,ID2103,DESIGN TUTORIAL 1,5,3,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
886,ID2122,PACKAGED LECTURE 1,5,3,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
887,ID2321,PACKAGED LECTURE 1,5,3,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
888,ID3121,DESIGN TUTORIAL 1,5,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
889,ID3122,PACKAGED LECTURE 1,8,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
890,ID4103,DESIGN TUTORIAL 1,23,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
891,ID4121,DESIGN TUTORIAL 1,24,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
892,IE2110,LECTURE 1,91,3,1,1,100,ENGINEERING,Returning Students [P]
893,IE2110,LECTURE 1,20,0,0,0,0,ENGINEERING,Reserved for [G] in later round
894,IE3100,LECTURE 1,12,0,0,0,0,ENGINEERING,Returning Students [P]
895,IE3101,LECTURE 1,14,1,20,1,20,ENGINEERING,Returning Students [P]
896,IE3110,LECTURE 1,11,1,10,1,10,ENGINEERING,Returning Students [P]
897,IE3120,LECTURE 1,24,0,0,0,0,ENGINEERING,Returning Students [P]
898,IE4100R,LECTURE 1,11,2,1,1,1,ENGINEERING,Returning Students [P]
899,IE4210,LECTURE 1,19,1,1,1,1,ENGINEERING,Returning Students [P]
900,IE4240,LECTURE 1,30,0,0,0,0,ENGINEERING,Returning Students [P]
901,IE5301,LECTURE 1,9,1,1000,1,1000,ENGINEERING,Returning Students [P]
902,IT1001,LECTURE 1,70,30,1,1,250,SCIENCE,New Students [P]
903,IT1001,LECTURE 1,120,2,1,1,1,SCHOOL OF COMPUTING,NUS Students [G]
904,IT1002,LECTURE 1,15,0,0,0,0,ARTS & SOCIAL SCIENCES,Returning Students [P]
