,Module,Group,Quota,NoofBidders,LowestBid,LowestSuccBid,HighestBid,Faculty,Student Type[Acct Type]
0,ACC1002,LECTURE B1,5,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P]
1,ACC1002X,LECTURE B1,34,58,1,1369,4001,SCHOOL OF BUSINESS,Returning Students [P] and NUS Students [G]
2,ACC1002X,LECTURE B2,31,54,1,1370,3167,SCHOOL OF BUSINESS,Returning Students [P] and NUS Students [G]
3,ACC1002X,LECTURE B2,15,8,1,1,747,ENGINEERING,New Students [P]
4,ACC1002X,LECTURE B2,3,1,1,1,1,SCHOOL OF BUSINESS,New Students [P]
5,ACC1006,LECTURE C,1,1,100,1,100,SCHOOL OF BUSINESS,Returning Students [P]
6,ACC2002,LECTURE B,19,30,1,911,2068,SCHOOL OF BUSINESS,Returning Students [P] and NUS Students [G]
7,ACC2002,LECTURE B,5,0,0,0,0,SCHOOL OF COMPUTING,New Students [P]
8,AR1101,DESIGN LECTURE 1,27,6,1,1,100,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
9,AR1121,LECTURE 1,26,6,1,1,100,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
10,AR1221,LECTURE 1,35,7,1,1,250,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
11,AR2101,DESIGN LECTURE 1,35,4,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
12,AR2221,LECTURE 1,26,6,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
13,AR2511,PACKAGED LECTURE 1,35,5,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
14,AR2723,LECTURE 1,63,6,1,1,100,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
15,AR3101,DESIGN LECTURE 1,28,13,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
16,AR3222,LECTURE 1,26,12,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
17,AR4101,DESIGN LECTURE 1,30,3,1,1,10,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
18,AR4101,DESIGN LECTURE 1,5,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
19,AR4103,DESIGN LECTURE 1,32,4,1,1,1000,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
20,AR4103,DESIGN LECTURE 1,5,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
21,AR4322,LECTURE 1,37,3,1,1,1000,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
22,AR4322,LECTURE 1,5,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
23,AR5011,LECTURE 1,45,4,1,1,10,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
24,AR5011,LECTURE 1,5,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
25,AR5312,LECTURE 1,23,2,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
26,AR5312,LECTURE 1,5,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
27,AR5321,LECTURE 1,32,6,1,1,1000,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
