,Module,Group,Quota,NoofBidders,LowestBid,LowestSuccBid,HighestBid,Faculty,Student Type[Acct Type]
0,ACC1002X,LECTURE B2,3,15,101,3000,4810,SCHOOL OF BUSINESS,"NUS Students [P, G]"
1,ACC1006,LECTURE C,20,5,1,1,28,SCHOOL OF BUSINESS,NUS Students [P]
2,ACC2002,LECTURE B1,9,14,50,353,1310,SCHOOL OF BUSINESS,"NUS Students [P, G]"
3,ACC2002,LECTURE B2,6,9,50,280,1000,SCHOOL OF BUSINESS,"NUS Students [P, G]"
4,ACC3613,SECTIONAL TEACHING D1,2,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [P]
5,ACC3613,SECTIONAL TEACHING D2,1,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [P]
6,ACC3613,SECTIONAL TEACHING D3,2,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [P]
7,ACC3615,SECTIONAL TEACHING E1,3,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [P]
8,ACC3615,SECTIONAL TEACHING E2,1,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [P]
9,ACC3615,SECTIONAL TEACHING E3,1,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [P]
10,AR1102,DESIGN TUTORIAL 1,4,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
11,AR1326,LECTURE 1,6,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
12,AR1721,LECTURE 1,6,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
13,AR2102,DESIGN TUTORIAL 1,10,3,1,1,11,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
14,AR2223,LECTURE 1,1,6,119,3000,3000,SCHOOL OF DESIGN AND ENVIRONMENT,"NUS Students [P, G]"
15,AR2326,LECTURE 1,25,5,1,1,11,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
16,AR2724,LECTURE 1,22,5,1,1,11,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
17,AR3102,DESIGN TUTORIAL 1,20,3,1,1,100,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
18,AR3323,LECTURE 1,46,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
19,AR3324,LECTURE 1,23,2,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
20,AR4102,DESIGN TUTORIAL 1,19,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
21,AR4104,DESIGN TUTORIAL 1,12,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
22,AR4323,LECTURE 1,12,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
23,AR5011,LECTURE 2,39,2,5273,1,5348,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
24,BCP4002A,SECTIONAL TEACHING A,492,1,1,1,1,SCHOOL OF BUSINESS,NUS Students [P]
25,BCP4002B,SECTIONAL TEACHING B,498,2,1,1,500,SCHOOL OF BUSINESS,NUS Students [P]
26,BHT4001A,SECTIONAL TEACHING A,498,1,101,1,101,SCHOOL OF BUSINESS,NUS Students [P]
27,BHT4001B,SECTIONAL TEACHING B,499,1,1,1,1,SCHOOL OF BUSINESS,NUS Students [P]
28,BHT4001C,SECTIONAL TEACHING C,499,1,1,1,1,SCHOOL OF BUSINESS,NUS Students [P]
29,BN4202,LECTURE 1,25,0,0,0,0,ENGINEERING,NUS Students [P]
30,BN4402,LECTURE 1,15,5,1,1,3973,ENGINEERING,NUS Students [P]
31,BN4404,LECTURE 1,9,2,1,1,10,ENGINEERING,NUS Students [P]
32,BSP1004,LECTURE D2,1,11,1,3800,3800,SCHOOL OF BUSINESS,"NUS Students [P, G]"
33,BSP1005,LECTURE F2,2,8,323,1651,2000,SCHOOL OF BUSINESS,"NUS Students [P, G]"
