,Module,Group,Quota,NoofBidders,LowestBid,LowestSuccBid,HighestBid,Faculty,Student Type[Acct Type]
0,ACC1002,LECTURE B1,8,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P]
1,ACC1002,LECTURE B1,8,16,102,300,550,SCHOOL OF BUSINESS,New Students [P]
2,ACC1002,LECTURE B2,3,9,212,550,747,SCHOOL OF BUSINESS,New Students [P]
3,ACC1002X,LECTURE B1,10,21,1,1908,4448,SCIENCE,Returning Students [P]
4,ACC1002X,LECTURE B1,1,5,37,2000,2000,SCHOOL OF COMPUTING,Returning Students [P]
5,ACC1002X,LECTURE B1,10,12,85,103,457,SCIENCE,New Students [P]
6,ACC1002X,LECTURE B1,20,36,15,746,747,ENGINEERING,New Students [P]
7,ACC1002X,LECTURE B1,35,11,1,1,260,SCHOOL OF COMPUTING,New Students [P]
8,ACC1002X,LECTURE B1,3,5,226,300,450,SCHOOL OF BUSINESS,New Students [P]
9,ACC1002X,LECTURE B1,8,14,100,203,747,JOINT MULTI-DISCIPLINARY PROGRAMMES,New Students [P]
10,ACC1002X,LECTURE B1,3,5,527,940,1500,SCHOOL OF BUSINESS,NUS Students [G]
11,ACC1002X,LECTURE B2,12,23,1,2111,3743,SCIENCE,Returning Students [P]
12,ACC1002X,LECTURE B2,15,11,1,1,500,SCHOOL OF COMPUTING,Returning Students [P]
13,ACC1002X,LECTURE B2,10,12,32,40,396,SCIENCE,New Students [P]
14,ACC1002X,LECTURE B2,20,44,31,745,1461,ENGINEERING,New Students [P]
15,ACC1002X,LECTURE B2,35,9,1,1,321,SCHOOL OF COMPUTING,New Students [P]
16,ACC1002X,LECTURE B2,3,6,110,200,226,SCHOOL OF BUSINESS,New Students [P]
17,ACC1002X,LECTURE B2,8,10,1,303,747,JOINT MULTI-DISCIPLINARY PROGRAMMES,New Students [P]
18,ACC1002X,LECTURE B2,3,8,1,1006,1499,SCHOOL OF BUSINESS,NUS Students [G]
19,ACC1006,LECTURE C,4,0,0,0,0,SCHOOL OF BUSINESS,New Students [P]
20,ACC2002,LECTURE B,5,0,0,0,0,SCHOOL OF COMPUTING,New Students [P]
21,AR1101,DESIGN TUTORIAL 1,1,1,90,1,90,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
22,AR1101,DESIGN TUTORIAL 1,160,145,1,1,127,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
23,AR1121,LECTURE 1,160,145,1,1,100,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
24,AR1221,LECTURE 1,190,192,1,1,300,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
25,AR2101,DESIGN TUTORIAL 1,24,7,1,1,20,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
26,AR2221,LECTURE 1,25,7,1,1,20,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
27,AR2511,PACKAGED LECTURE 1,25,8,1,1,20,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
28,AR2723,LECTURE 1,23,7,1,1,20,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
29,AR3101,DESIGN TUTORIAL 1,50,7,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
30,AR3222,LECTURE 1,52,7,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
31,AR3222,LECTURE 1,15,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Reserved for [G] in later round
32,AR4101,DESIGN TUTORIAL 1,42,3,1,1,500,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
33,AR4101,DESIGN TUTORIAL 1,10,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
34,AR4103,DESIGN TUTORIAL 1,18,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
35,AR4103,DESIGN TUTORIAL 1,5,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
36,AR4222,LECTURE 1,14,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
37,AR4222,LECTURE 1,5,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
38,AR4322,LECTURE 1,19,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
39,AR4322,LECTURE 1,4,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
40,AR4323,LECTURE 1,44,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
41,AR4323,LECTURE 1,5,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
42,AR5011,LECTURE 1,51,3,1,1,500,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
43,AR5011,LECTURE 1,10,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
44,AR5312,LECTURE 1,9,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
45,AR5312,LECTURE 1,5,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
46,AR5321,LECTURE 1,59,7,1,1,500,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
47,AR5321,LECTURE 1,10,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
48,AR5610,LECTURE 1,12,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
49,AR5610,LECTURE 1,5,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
50,AS2237,LECTURE 1,1,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
51,AS3234,LECTURE 1,2,0,0,0,0,ARTS & SOCIAL SCIENCES,Returning Students [P]
