,Module,Group,Quota,NoofBidders,LowestBid,LowestSuccBid,HighestBid,Faculty,Student Type[Acct Type]
0,ACC1002,LECTURE B1,8,1,1,1,1,SCHOOL OF BUSINESS,Returning Students [P]
1,ACC1002X,LECTURE B1,1,9,1,4470,4470,SCHOOL OF BUSINESS,Returning Students [P] and NUS Students [G]
2,ACC1002X,LECTURE B1,24,4,2,1,200,SCHOOL OF COMPUTING,New Students [P]
3,ACC1002X,LECTURE B2,5,19,1,5413,6803,SCHOOL OF BUSINESS,Returning Students [P] and NUS Students [G]
4,ACC1002X,LECTURE B2,26,2,1,1,1,SCHOOL OF COMPUTING,New Students [P]
5,ACC1006,LECTURE C,4,0,0,0,0,SCHOOL OF BUSINESS,New Students [P]
6,ACC2002,LECTURE B,1,3,304,602,602,SCHOOL OF BUSINESS,Returning Students [P]
7,ACC2002,LECTURE B,5,0,0,0,0,SCHOOL OF COMPUTING,New Students [P]
8,AR1101,DESIGN TUTORIAL 1,15,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
9,AR1121,LECTURE 1,15,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
10,AR2101,DESIGN TUTORIAL 1,18,5,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
11,AR2221,LECTURE 1,18,4,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
12,AR2511,PACKAGED LECTURE 1,17,4,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
13,AR2723,LECTURE 1,16,4,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
14,AR3101,DESIGN TUTORIAL 1,43,10,1,1,1000,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
15,AR3222,LECTURE 1,60,45,1,1,1994,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P] and NUS Students [G]
16,AR4101,DESIGN TUTORIAL 1,39,7,1,1,100,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
17,AR4101,DESIGN TUTORIAL 1,10,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
