,Module,Group,Quota,NoofBidders,LowestBid,LowestSuccBid,HighestBid,Faculty,Student Type[Acct Type]
0,ACC1002X,LECTURE X1,17,34,1,2000,4529,SCIENCE,Returning Students [P]
1,ACC1002X,LECTURE X1,15,0,0,0,0,LAW,Returning Students [P]
2,ACC1002X,LECTURE X1,77,10,1,1,100,ENGINEERING,Returning Students [P]
3,ACC1002X,LECTURE X1,7,7,50,1,3000,SCHOOL OF COMPUTING,Returning Students [P]
4,ACC1002X,LECTURE X1,7,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P]
5,ACC1002X,LECTURE X1,50,65,1,97,747,ENGINEERING,New Students [P]
6,ACC1002X,LECTURE X1,12,24,51,450,645,SCHOOL OF COMPUTING,New Students [P]
7,ACC1002X,LECTURE X1,15,1,17,1,17,SCHOOL OF BUSINESS,NUS Students [G]
8,ACC1002X,LECTURE X2,9,27,1,2000,4000,SCIENCE,Returning Students [P]
9,ACC1002X,LECTURE X2,50,11,1,1,2000,ENGINEERING,Returning Students [P]
10,ACC1002X,LECTURE X2,15,7,1,1,3311,SCHOOL OF COMPUTING,Returning Students [P]
11,ACC1002X,LECTURE X2,9,2,1,1,100,SCHOOL OF BUSINESS,Returning Students [P]
12,ACC1002X,LECTURE X2,5,1,900,1,900,JOINT MULTI-DISCIPLINARY PROGRAMMES,Returning Students [P]
13,ACC1002X,LECTURE X2,20,33,131,206,597,SCIENCE,New Students [P]
14,ACC1002X,LECTURE X2,40,51,50,247,748,ENGINEERING,New Students [P]
15,ACC1002X,LECTURE X2,30,44,20,303,822,SCHOOL OF COMPUTING,New Students [P]
16,ACC1002X,LECTURE X2,4,6,10,100,746,JOINT MULTI-DISCIPLINARY PROGRAMMES,New Students [P]
17,ACC1002X,LECTURE X2,15,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [G]
18,ACC2002,LECTURE B1,20,2,200,1,399,SCHOOL OF BUSINESS,NUS Students [G]
19,ACC4612D,SECTIONAL TEACHING D1,27,1,25,1,25,SCHOOL OF BUSINESS,Returning Students [P]
20,ACC4612E,SECTIONAL TEACHING E1,13,11,10,1,4000,SCHOOL OF BUSINESS,Returning Students [P]
21,AR1101,DESIGN LECTURE 1,140,116,1,1,108,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
22,AR1327,LECTURE 1,140,120,1,1,100,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
23,AR2101,DESIGN LECTURE 1,42,6,1,1,5,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
24,AR2221,LECTURE 1,3,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Reserved for [G] in later round
25,AR2521,LECTURE 1,40,6,1,1,5,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
26,AR2723,LECTURE 1,40,6,1,1,5,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
27,AR3101,DESIGN LECTURE 1,22,6,1,1,5,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
28,AR3222,LECTURE 1,21,5,1,1,5,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
29,AR4101,DESIGN LECTURE 1,16,2,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
30,AR4103,DESIGN LECTURE 1,26,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
31,AR4222,LECTURE 1,2,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
32,AR4322,LECTURE 1,26,2,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
33,AR5011,LECTURE 1,20,2,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
34,AR5312,LECTURE 1,8,6,1,1,100,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
35,AR5321,LECTURE 1,38,3,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
36,AS2236,LECTURE 1,6,1,1,1,1,ARTS & SOCIAL SCIENCES,Returning Students [P]
37,AS2236,LECTURE 1,5,0,0,0,0,ARTS & SOCIAL SCIENCES,New Students [P]
38,AS2236,LECTURE 1,5,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
39,AS2237,LECTURE 1,5,1,1,1,1,ARTS & SOCIAL SCIENCES,Returning Students [P]
40,AS2237,LECTURE 1,5,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
41,AS3238,LECTURE 1,2,0,0,0,0,ARTS & SOCIAL SCIENCES,Returning Students [P]
42,AS3238,LECTURE 1,2,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
43,BN4406,LECTURE 1,62,1,1,1,1,ENGINEERING,Returning Students [P]
44,BSP1004X,LECTURE Y1,5,3,1,1,100,SCIENCE,Returning Students [P]
45,BSP1004X,LECTURE Y1,28,0,0,0,0,ENGINEERING,Returning Students [P]
46,BSP1004X,LECTURE Y1,20,0,0,0,0,SCHOOL OF COMPUTING,Returning Students [P]
47,BSP1004X,LECTURE Y1,1,0,0,0,0,JOINT MULTI-DISCIPLINARY PROGRAMMES,Returning Students [P]
48,BSP1004X,LECTURE Y1,10,3,1,1,1,SCIENCE,New Students [P]
