,Module,Group,Quota,NoofBidders,LowestBid,LowestSuccBid,HighestBid,Faculty,Student Type[Acct Type]
0,ACC1002X,LECTURE B1,1,18,1,2000,2000,SCHOOL OF BUSINESS,"NUS Students [P, G]"
1,ACC1002X,LECTURE B2,4,25,1,3206,6000,SCHOOL OF BUSINESS,"NUS Students [P, G]"
2,ACC1006,LECTURE C1,20,1,1,1,1,SCHOOL OF BUSINESS,NUS Students [P]
3,ACC1006,LECTURE C2,37,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [P]
4,ACC2002,LECTURE B1,28,20,1,1,1000,SCHOOL OF BUSINESS,"NUS Students [P, G]"
5,ACC2002,LECTURE B2,57,9,1,1,2831,SCHOOL OF BUSINESS,"NUS Students [P, G]"
6,ACC4611,SECTIONAL TEACHING J1,19,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [P]
7,AR1102,DESIGN LECTURE 1,24,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
8,AR1326,LECTURE 1,32,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
9,AR1721,LECTURE 1,45,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
10,AR2102,DESIGN LECTURE 1,43,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
11,AR2223,LECTURE 1,39,4,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
12,AR2326,LECTURE 1,27,4,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
13,AR2724,LECTURE 1,31,4,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
14,AR3102,DESIGN LECTURE 1,25,4,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
15,AR3323,LECTURE 1,24,4,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
16,AR3324,LECTURE 1,22,5,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
17,AR4102,DESIGN LECTURE 1,20,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
18,AR4104,DESIGN LECTURE 1,29,2,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
19,AR4323,LECTURE 1,28,2,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
20,AR5011,LECTURE 1,53,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,NUS Students [P]
21,BN4201,LECTURE 1,1,0,0,0,0,ENGINEERING,NUS Students [P]
22,BN4202,LECTURE 1,20,1,1,1,1,ENGINEERING,NUS Students [P]
23,BN4402,LECTURE 1,12,2,1,1,2,ENGINEERING,NUS Students [P]
24,BSP1004,LECTURE D1,2,4,74,1315,1986,SCHOOL OF BUSINESS,"NUS Students [P, G]"
25,BSP1004,LECTURE D2,2,5,51,1401,1956,SCHOOL OF BUSINESS,"NUS Students [P, G]"
26,BSP1005,LECTURE F1,4,6,268,600,1500,SCHOOL OF BUSINESS,"NUS Students [P, G]"
27,BSP1005,LECTURE F2,19,23,15,259,2000,SCHOOL OF BUSINESS,"NUS Students [P, G]"
28,BSP2001,LECTURE A1,30,5,1,1,505,SCHOOL OF BUSINESS,"NUS Students [P, G]"
29,BSP2001,LECTURE A2,39,2,1,1,1,SCHOOL OF BUSINESS,"NUS Students [P, G]"
30,BSP2005,LECTURE E1,70,3,1,1,419,SCHOOL OF BUSINESS,"NUS Students [P, G]"
31,BSP2005,LECTURE E2,72,1,1,1,1,SCHOOL OF BUSINESS,"NUS Students [P, G]"
32,BSP3001,SECTIONAL TEACHING A1,10,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [P]
33,BSP3001,SECTIONAL TEACHING A2,15,1,3045,1,3045,SCHOOL OF BUSINESS,NUS Students [P]
34,BSP3001,SECTIONAL TEACHING A3,16,0,0,0,0,SCHOOL OF BUSINESS,NUS Students [P]
35,BSP3001,SECTIONAL TEACHING A4,11,1,475,1,475,SCHOOL OF BUSINESS,NUS Students [P]
