,Module,Group,Quota,NoofBidders,LowestBid,LowestSuccBid,HighestBid,Faculty,Student Type[Acct Type]
0,AR1121,LECTURE 1,38,20,1,1,5,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
1,AR1221,LECTURE 1,59,22,1,1,5,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
2,AR2101,DESIGN TUTORIAL 1,29,3,1,1,5,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
3,AR2221,LECTURE 1,18,21,100,777,1570,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P] and NUS Students [G]
4,AR2722,LECTURE 1,30,4,1,1,10,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
5,AR3101,DESIGN TUTORIAL 1,5,5,1,1,1000,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
6,AR3222,LECTURE 1,16,19,2,250,1500,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P] and NUS Students [G]
7,AR4101,DESIGN TUTORIAL 1,42,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
8,AR4101,DESIGN TUTORIAL 1,5,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
9,AR4103,DESIGN TUTORIAL 1,10,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
10,AR4104,DESIGN TUTORIAL 1,10,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
11,AR5011,LECTURE 1,3,6,1,1000,4000,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
12,AR5011,LECTURE 1,5,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
13,AR5011,LECTURE 2,16,3,1,1,10,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
14,AR5011,LECTURE 2,5,0,0,0,0,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
15,AR5321,LECTURE 1,59,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,Returning Students [P]
16,AR5321,LECTURE 1,5,1,1,1,1,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
17,AS2213,LECTURE 1,1,1,1,1,1,ARTS & SOCIAL SCIENCES,Returning Students [P] and NUS Students [G]
18,AS2213,LECTURE 1,1,1,1,1,1,ARTS & SOCIAL SCIENCES,New Students [P]
19,AS2237,LECTURE 1,9,7,1,1,582,ARTS & SOCIAL SCIENCES,Returning Students [P] and NUS Students [G]
20,AS2237,LECTURE 1,4,0,0,0,0,ARTS & SOCIAL SCIENCES,New Students [P]
21,AS3232,LECTURE 1,1,1,2138,1,2138,ARTS & SOCIAL SCIENCES,Returning Students [P] and NUS Students [G]
22,AS3239,LECTURE 1,5,2,100,1,100,ARTS & SOCIAL SCIENCES,Returning Students [P] and NUS Students [G]
23,BHT4001A,LECTURE ZA,477,1,1,1,1,SCHOOL OF BUSINESS,Returning Students [P]
24,BHT4001B,LECTURE ZB,493,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P]
25,BHT4001C,LECTURE ZC,494,1,1,1,1,SCHOOL OF BUSINESS,Returning Students [P]
26,BHT4001D,LECTURE ZD,500,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P]
27,BN4301,LECTURE 1,1,1,2000,1,2000,ENGINEERING,Returning Students [P]
28,BN4403,LECTURE 1,18,2,1,1,100,ENGINEERING,Returning Students [P]
29,BN4406,LECTURE 1,9,1,1,1,1,ENGINEERING,Returning Students [P]
30,BSP1004,SECTIONAL TEACHING D1,7,11,50,1750,3700,SCHOOL OF BUSINESS,Returning Students [P] and NUS Students [G]
31,BSP1004,SECTIONAL TEACHING D1,2,1,150,1,150,SCHOOL OF COMPUTING,New Students [P]
32,BSP1004,SECTIONAL TEACHING D2,3,11,150,986,3501,SCHOOL OF BUSINESS,Returning Students [P] and NUS Students [G]
33,BSP1004,SECTIONAL TEACHING D2,2,4,2,102,102,SCHOOL OF COMPUTING,New Students [P]
34,BSP1004,SECTIONAL TEACHING D3,3,15,1,2549,3000,SCHOOL OF BUSINESS,Returning Students [P] and NUS Students [G]
35,BSP1004,SECTIONAL TEACHING D3,4,0,0,0,0,SCHOOL OF COMPUTING,New Students [P]
36,BSP1004,SECTIONAL TEACHING D4,7,13,500,1400,4000,SCHOOL OF BUSINESS,Returning Students [P] and NUS Students [G]
37,BSP1004,SECTIONAL TEACHING D4,3,0,0,0,0,SCHOOL OF COMPUTING,New Students [P]
38,BSP1004,SECTIONAL TEACHING D5,3,5,1110,1810,4304,SCHOOL OF BUSINESS,Returning Students [P] and NUS Students [G]
39,BSP1004,SECTIONAL TEACHING D5,4,0,0,0,0,SCHOOL OF COMPUTING,New Students [P]
40,BSP1005,LECTURE E1,27,31,1,26,501,SCHOOL OF BUSINESS,Returning Students [P] and NUS Students [G]
41,BSP1005,LECTURE E2,34,32,1,1,1781,SCHOOL OF BUSINESS,Returning Students [P] and NUS Students [G]
42,BSP2001,LECTURE A,26,10,1,1,900,SCHOOL OF BUSINESS,Returning Students [P] and NUS Students [G]
43,BSP2001,LECTURE A,4,1,10,1,10,SCHOOL OF BUSINESS,New Students [P]
44,BSP2005,LECTURE E,83,4,1,1,200,SCHOOL OF BUSINESS,Returning Students [P] and NUS Students [G]
45,BSP2005,LECTURE E,5,0,0,0,0,SCHOOL OF COMPUTING,New Students [P]
46,BSP2005,LECTURE E,8,0,0,0,0,SCHOOL OF BUSINESS,New Students [P]
47,BSP3001,SECTIONAL TEACHING A1,3,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P]
